,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20160401LTWO0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20160402LTWO0,"[0, 0, 0, 0]","[0.25, 0.25, 0.25, 0.0, 0.25, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]","[0.6666666666666666, 0.75, 0.6666666666666666, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.6666666666666666, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20160403LTWO0,"[0, 0, 0, 0]","[0.14285714285714285, 0.25, 0.14285714285714285, 0.0, 0.2857142857142857, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.375, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.125, 0.125, 0.125, 0.5, 0.125, 0.125]","[0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.16666666666666666, 0.16666666666666666]","[0.42857142857142855, 0.5, 0.42857142857142855, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.5, 0.5, 1.0, 0.0, 0.3333333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,20160405WOHH0,"[0, 0, 0, 0]","[0.36363636363636365, 0.5, 0.36363636363636365, 0.0, 0.2727272727272727, 0.09090909090909091]","[0.2, 0.2, 0.2, 0.3333333333333333, 0.0, 0.2]","[0.2, 0.3076923076923077, 0.2, 0.0, 0.2, 0.1]","[0.18181818181818182, 0.3076923076923077, 0.18181818181818182, 0.5, 0.18181818181818182, 0.18181818181818182]","[0.3, 0.46153846153846156, 0.3, 1.0, 0.1, 0.1]","[0.4166666666666667, 0.46153846153846156, 0.5, 0.3333333333333333, 0.08333333333333333, 0.08333333333333333]","[0.25, 0.5, 0.25, 0.0, 0.125, 0.125]","[0.4444444444444444, 0.5454545454545454, 0.6666666666666666, 1.0, 0.1111111111111111, 0.3333333333333333]","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333]"
4,20160406WOHH0,"[0, 0, 0, 0]","[0.42857142857142855, 0.5789473684210527, 0.42857142857142855, 0.0, 0.2857142857142857, 0.07142857142857142]","[0.125, 0.125, 0.125, 0.3333333333333333, 0.125, 0.125]","[0.21428571428571427, 0.3333333333333333, 0.21428571428571427, 0.0, 0.21428571428571427, 0.07142857142857142]","[0.13333333333333333, 0.2777777777777778, 0.13333333333333333, 0.5, 0.13333333333333333, 0.13333333333333333]","[0.2857142857142857, 0.4117647058823529, 0.5, 0.5, 0.14285714285714285, 0.14285714285714285]","[0.2, 0.5, 0.2, 0.0, 0.1, 0.2]","[0.38461538461538464, 0.4666666666666667, 0.5384615384615384, 0.75, 0.07692307692307693, 0.38461538461538464]","[0.125, 0.125, 0.125, 0.14285714285714285, 0.0625, 0.0625]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0]"
5,20160407WOHH0,"[0, 0, 0, 0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.2222222222222222, 0.1111111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.21052631578947367, 0.30434782608695654, 0.21052631578947367, 0.0, 0.15789473684210525, 0.05263157894736842]","[0.1111111111111111, 0.30434782608695654, 0.1111111111111111, 0.5, 0.16666666666666666, 0.1111111111111111]","[0.23529411764705882, 0.38095238095238093, 0.4117647058823529, 0.3333333333333333, 0.17647058823529413, 0.11764705882352941]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.35294117647058826, 0.42105263157894735, 0.47058823529411764, 0.8, 0.058823529411764705, 0.4117647058823529]","[0.15789473684210525, 0.2, 0.15789473684210525, 0.25, 0.10526315789473684, 0.10526315789473684]","[0.5, 0.625, 0.8333333333333334, 0.0, 0.16666666666666666, 0.16666666666666666]"
6,20160408WOOB0,"[1.8, 1.2, 1.25, 5.0]","[0.2608695652173913, 0.41379310344827586, 0.2608695652173913, 0.0, 0.17391304347826086, 0.08695652173913043]","[0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.25, 0.15384615384615385, 0.07692307692307693]","[0.18181818181818182, 0.2962962962962963, 0.18181818181818182, 0.0, 0.18181818181818182, 0.045454545454545456]","[0.13636363636363635, 0.2962962962962963, 0.2727272727272727, 0.4, 0.18181818181818182, 0.18181818181818182]","[0.25, 0.4230769230769231, 0.5, 0.3333333333333333, 0.25, 0.1]","[0.3125, 0.5416666666666666, 0.375, 0.5, 0.1875, 0.3125]","[0.3333333333333333, 0.391304347826087, 0.5714285714285714, 0.7142857142857143, 0.09523809523809523, 0.42857142857142855]","[0.13636363636363635, 0.20833333333333334, 0.13636363636363635, 0.25, 0.09090909090909091, 0.09090909090909091]","[0.3333333333333333, 0.5, 0.5555555555555556, 0.0, 0.1111111111111111, 0.1111111111111111]"
7,20160409WOOB0,"[0.0, 1.2, 3.0, 5.0]","[0.23076923076923078, 0.3939393939393939, 0.23076923076923078, 0.0, 0.19230769230769232, 0.07692307692307693]","[0.3076923076923077, 0.4375, 0.5384615384615384, 0.0, 0.07692307692307693, 0.07692307692307693]","[0.19230769230769232, 0.2903225806451613, 0.19230769230769232, 0.0, 0.15384615384615385, 0.038461538461538464]","[0.2, 0.3548387096774194, 0.44, 0.4, 0.2, 0.2]","[0.25, 0.4, 0.4583333333333333, 0.3333333333333333, 0.25, 0.08333333333333333]","[0.3, 0.5, 0.35, 0.4, 0.15, 0.25]","[0.32, 0.37037037037037035, 0.56, 0.5555555555555556, 0.08, 0.4]","[0.125, 0.25, 0.125, 0.25, 0.125, 0.08333333333333333]","[0, 0, 0, 0, 0, 0]"
8,20160410WOOB0,"[10.125, 1.6875, 0.5, 5.333333333333333]","[0.2727272727272727, 0.4, 0.3333333333333333, 0.16666666666666666, 0.18181818181818182, 0.15151515151515152]","[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0.25, 0.34210526315789475, 0.25, 0.125, 0.15625, 0.03125]","[0.1935483870967742, 0.32432432432432434, 0.41935483870967744, 0.25, 0.16129032258064516, 0.1935483870967742]","[0.27586206896551724, 0.4166666666666667, 0.4482758620689655, 0.4, 0.2413793103448276, 0.10344827586206896]","[0.3076923076923077, 0.47058823529411764, 0.34615384615384615, 0.2857142857142857, 0.15384615384615385, 0.19230769230769232]","[0.3, 0.36363636363636365, 0.5, 0.5, 0.06666666666666667, 0.3333333333333333]","[0.6, 0.6, 0.6, 0.6666666666666666, 0.0, 0.4]","[0.14285714285714285, 0.29411764705882354, 0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 0.10714285714285714]"
9,20160412KTWO0,"[3.8571428571428568, 1.1428571428571428, 5, 7.0]","[0.2702702702702703, 0.41304347826086957, 0.35135135135135137, 0.16666666666666666, 0.1891891891891892, 0.16216216216216217]","[0.25, 0.25, 0.25, 0.5, 0.125, 0.1875]","[0.2702702702702703, 0.3488372093023256, 0.32432432432432434, 0.125, 0.16216216216216217, 0.02702702702702703]","[0.2, 0.30952380952380953, 0.42857142857142855, 0.2222222222222222, 0.17142857142857143, 0.2]","[0.26666666666666666, 0.45, 0.43333333333333335, 0.4, 0.23333333333333334, 0.1]","[0.3448275862068966, 0.5, 0.3793103448275862, 0.375, 0.13793103448275862, 0.20689655172413793]","[0.2727272727272727, 0.3333333333333333, 0.45454545454545453, 0.45454545454545453, 0.06060606060606061, 0.30303030303030304]","[0.16129032258064516, 0.2894736842105263, 0.16129032258064516, 0.3333333333333333, 0.16129032258064516, 0.12903225806451613]","[0.29411764705882354, 0.42857142857142855, 0.47058823529411764, 0.2, 0.17647058823529413, 0.11764705882352941]"
