,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20160401HHLG0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20160402HHLG0,"[0, 0, 0, 0]","[0.5, 0.6666666666666666, 0.5, 0.0, 0.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666]","[1.0, 1.0, 1.25, 1.0, 0.0, 0.25]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.25, 0.0, 0.3333333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.5, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0.0, 0.2, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]"
2,20160405WOHH0,"[0, 0, 0, 0]","[0.6, 0.6666666666666666, 0.6, 0.3333333333333333, 0.2, 0.1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.4444444444444444, 0.5, 0.5555555555555556, 0.5, 0.1111111111111111, 0.1111111111111111]","[0.2, 0.38461538461538464, 0.3, 0.25, 0.1, 0.2]","[0.3, 0.36363636363636365, 0.4, 0.6666666666666666, 0.2, 0.1]","[0.375, 0.4444444444444444, 0.625, 0.25, 0.0, 0.25]","[0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,20160406WOHH0,"[16.2, 3.5999999999999996, 0.0, 1.6666666666666667]","[0.5333333333333333, 0.5882352941176471, 0.5333333333333333, 0.25, 0.26666666666666666, 0.06666666666666667]","[0.3333333333333333, 0.42857142857142855, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.46153846153846156, 0.5333333333333333, 0.6153846153846154, 0.5, 0.07692307692307693, 0.15384615384615385]","[0.15384615384615385, 0.29411764705882354, 0.23076923076923078, 0.2, 0.15384615384615385, 0.23076923076923078]","[0.2857142857142857, 0.375, 0.35714285714285715, 0.4, 0.2857142857142857, 0.07142857142857142]","[0.4166666666666667, 0.46153846153846156, 0.75, 0.4, 0.16666666666666666, 0.25]","[0.08333333333333333, 0.15384615384615385, 0.08333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.25, 0.25, 0.25, 0.0, 0.25, 0.0]","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.14285714285714285, 0.0, 0.08333333333333333]"
4,20160407WOHH0,"[9.0, 2.0, 4.0, 3.0]","[0.47368421052631576, 0.5238095238095238, 0.5263157894736842, 0.25, 0.2631578947368421, 0.05263157894736842]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0.6, 0.6363636363636364, 0.9, 0.5, 0.3, 0.3]","[0.23529411764705882, 0.3333333333333333, 0.35294117647058826, 0.14285714285714285, 0.11764705882352941, 0.17647058823529413]","[0.2777777777777778, 0.35, 0.3333333333333333, 0.42857142857142855, 0.2222222222222222, 0.1111111111111111]","[0.5, 0.5555555555555556, 0.5, 0.0, 0.0, 0.0]","[0.35714285714285715, 0.4, 0.6428571428571429, 0.3333333333333333, 0.14285714285714285, 0.21428571428571427]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.0, 0.0, 0.2]"
5,20160408HHNC0,"[6.75, 1.5, 1.0, 1.3333333333333333]","[0.4583333333333333, 0.5, 0.625, 0.4, 0.25, 0.125]","[0.3888888888888889, 0.47619047619047616, 0.5, 0.6, 0.1111111111111111, 0.16666666666666666]","[0.2727272727272727, 0.34615384615384615, 0.36363636363636365, 0.2, 0.09090909090909091, 0.13636363636363635]","[0.6, 0.625, 0.8666666666666667, 0.4, 0.2, 0.2]","[0.3125, 0.35294117647058826, 0.5625, 0.2857142857142857, 0.125, 0.1875]","[0.22727272727272727, 0.2916666666666667, 0.2727272727272727, 0.3333333333333333, 0.18181818181818182, 0.09090909090909091]","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.125, 0.0, 0.06666666666666667]","[0.25, 0.25, 0.625, 0.0, 0.25, 0.125]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111]"
6,20160409HHNC0,"[6.0, 1.6666666666666667, 2.0, 1.0]","[0.4482758620689655, 0.4838709677419355, 0.6206896551724138, 0.5, 0.20689655172413793, 0.13793103448275862]","[0.2, 0.3333333333333333, 0.5, 0.0, 0.3, 0.2]","[0.30434782608695654, 0.38461538461538464, 0.391304347826087, 0.6, 0.08695652173913043, 0.13043478260869565]","[0.28, 0.3870967741935484, 0.4, 0.2, 0.12, 0.12]","[0.5555555555555556, 0.6, 1.1111111111111112, 1.0, 0.3333333333333333, 0.5555555555555556]","[0.23076923076923078, 0.2857142857142857, 0.38461538461538464, 0.3, 0.19230769230769232, 0.11538461538461539]","[0.125, 0.17647058823529413, 0.1875, 0.3333333333333333, 0.1875, 0.125]","[0, 0, 0, 0, 0, 0]","[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]"
7,20160410HHNC0,"[5.785714285714286, 2.357142857142857, 1.0, 4.666666666666667]","[0.3939393939393939, 0.42857142857142855, 0.5454545454545454, 0.5, 0.18181818181818182, 0.12121212121212122]","[0.21052631578947367, 0.25, 0.2631578947368421, 0.3333333333333333, 0.15789473684210525, 0.10526315789473684]","[0.3333333333333333, 0.4, 0.4074074074074074, 0.6, 0.07407407407407407, 0.1111111111111111]","[0.5294117647058824, 0.6, 0.7647058823529411, 0.4, 0.17647058823529413, 0.17647058823529413]","[0.25, 0.37142857142857144, 0.35714285714285715, 0.2, 0.14285714285714285, 0.10714285714285714]","[0.25, 0.3225806451612903, 0.39285714285714285, 0.36363636363636365, 0.17857142857142858, 0.14285714285714285]","[0.3, 0.3333333333333333, 0.5, 0.2222222222222222, 0.1, 0.15]","[0.14285714285714285, 0.25, 0.35714285714285715, 0.0, 0.21428571428571427, 0.14285714285714285]","[0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.125, 0.0, 0.05555555555555555]"
8,20160412OBHH0,"[8.64, 1.68, 1.5, 4.166666666666667]","[0.3684210526315789, 0.4, 0.5, 0.3333333333333333, 0.18421052631578946, 0.10526315789473684]","[0, 0, 0, 0, 0, 0]","[0.2903225806451613, 0.35294117647058826, 0.3548387096774194, 0.42857142857142855, 0.06451612903225806, 0.0967741935483871]","[0.25806451612903225, 0.38461538461538464, 0.3548387096774194, 0.25, 0.12903225806451613, 0.12903225806451613]","[0.47368421052631576, 0.5833333333333334, 0.6842105263157895, 0.4, 0.15789473684210525, 0.15789473684210525]","[0.25806451612903225, 0.34285714285714286, 0.41935483870967744, 0.38461538461538464, 0.16129032258064516, 0.16129032258064516]","[0.2222222222222222, 0.3, 0.3888888888888889, 0.0, 0.16666666666666666, 0.1111111111111111]","[0, 0, 0, 0, 0, 0]","[0.05263157894736842, 0.1, 0.05263157894736842, 0.125, 0.0, 0.05263157894736842]"
9,20160413OBHH0,"[7.2, 2.0, 1.0, 2.5]","[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0.32558139534883723, 0.35555555555555557, 0.4418604651162791, 0.3, 0.16279069767441862, 0.09302325581395349]","[0.2571428571428571, 0.3157894736842105, 0.3142857142857143, 0.3333333333333333, 0.05714285714285714, 0.08571428571428572]","[0.2647058823529412, 0.3953488372093023, 0.38235294117647056, 0.23076923076923078, 0.14705882352941177, 0.11764705882352941]","[0.3142857142857143, 0.38461538461538464, 0.4857142857142857, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285]","[0.45454545454545453, 0.5714285714285714, 0.6363636363636364, 0.4, 0.13636363636363635, 0.13636363636363635]","[0.42857142857142855, 0.4666666666666667, 0.7857142857142857, 1.0, 0.21428571428571427, 0.42857142857142855]","[0.2608695652173913, 0.32, 0.43478260869565216, 0.2, 0.08695652173913043, 0.13043478260869565]","[0, 0, 0, 0, 0, 0]"
