,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20160401HTNC0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20160402HTNC0,"[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.25, 0.5, 0.0, 0.0, 0.0]","[0.5, 0.5, 1.25, 0.0, 0.5, 0.5]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0.25, 0.25, 1.0, 0.0, 0.25, 0.5]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0.6666666666666666, 0.75, 1.0, 1.0, 0.0, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]"
2,20160405NCOB0,"[0, 0, 0, 0]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0]","[0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[0.25, 0.25, 0.375, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.8333333333333334, 0.0, 0.5, 0.3333333333333333]","[0.3333333333333333, 0.5, 0.8333333333333334, 0.0, 0.3333333333333333, 0.5]","[0.16666666666666666, 0.375, 0.3333333333333333, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0.5, 0.5714285714285714, 0.6666666666666666, 0.5, 0.0, 0.16666666666666666]","[0.2, 0.2, 0.2, 0.0, 0.0, 0.0]"
3,20160406NCOB0,"[0, 0, 0, 0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0.5, 0.5, 0.5, 1.0, 0.125, 0.0]","[0.25, 0.25, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.2222222222222222, 0.4166666666666667, 0.5555555555555556, 0.0, 0.3333333333333333, 0.2222222222222222]","[0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.2222222222222222, 0.5555555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.4, 0.4444444444444444, 0.3333333333333333, 0.0, 0.1111111111111111]","[0.0, 0.2, 0.0, 0.0, 0.0, 0.0]"
4,20160407NCOB0,"[6.352941176470588, 1.4117647058823528, 5.0, 5.666666666666667]","[0.125, 0.125, 0.125, 0.0, 0.125, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 1.0, 0.08333333333333333, 0.0]","[0.21428571428571427, 0.26666666666666666, 0.2857142857142857, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.3333333333333333, 0.4166666666666667, 0.0, 0.25, 0.16666666666666666]","[0.3333333333333333, 0.4666666666666667, 0.5833333333333334, 0.5, 0.16666666666666666, 0.4166666666666667]","[0.125, 0.125, 0.5, 0.0, 0.125, 0.25]","[0.08333333333333333, 0.26666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.25, 0.3076923076923077, 0.3333333333333333, 0.3333333333333333, 0.0, 0.08333333333333333]","[0.2, 0.3333333333333333, 0.2, 0.0, 0.0, 0.0]"
5,20160408HHNC0,"[5.4, 2.0, 0.6666666666666666, 5.0]","[0.2857142857142857, 0.2857142857142857, 0.38095238095238093, 0.5, 0.14285714285714285, 0.09523809523809523]","[0.17647058823529413, 0.3, 0.29411764705882354, 0.5, 0.058823529411764705, 0.11764705882352941]","[0.2777777777777778, 0.35, 0.3333333333333333, 0.0, 0.05555555555555555, 0.0]","[0.23529411764705882, 0.35, 0.4117647058823529, 0.0, 0.23529411764705882, 0.11764705882352941]","[0.375, 0.47368421052631576, 0.625, 0.6666666666666666, 0.1875, 0.4375]","[0.08333333333333333, 0.15384615384615385, 0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.3125, 0.35294117647058826, 0.375, 0.5, 0.0625, 0.1875]","[0.25, 0.4, 0.25, 0.0, 0.25, 0.0]","[0.2222222222222222, 0.3, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0]"
6,20160409HHNC0,"[0, 0, 0, 0]","[0.30434782608695654, 0.38461538461538464, 0.43478260869565216, 0.6, 0.17391304347826086, 0.13043478260869565]","[0.19047619047619047, 0.32, 0.2857142857142857, 0.3333333333333333, 0.14285714285714285, 0.09523809523809523]","[0.3181818181818182, 0.375, 0.4090909090909091, 0.0, 0.045454545454545456, 0.045454545454545456]","[0.2, 0.3333333333333333, 0.35, 0.0, 0.2, 0.1]","[0.42105263157894735, 0.5217391304347826, 0.631578947368421, 0.6, 0.15789473684210525, 0.42105263157894735]","[0.13333333333333333, 0.23529411764705882, 0.3333333333333333, 0.0, 0.13333333333333333, 0.13333333333333333]","[0.3, 0.3333333333333333, 0.5, 0.2857142857142857, 0.1, 0.2]","[0.25, 0.3333333333333333, 0.25, 0.0, 0.25, 0.0]","[0.18181818181818182, 0.25, 0.18181818181818182, 0.0, 0.09090909090909091, 0.0]"
7,20160410HHNC0,"[23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0.2857142857142857, 0.3548387096774194, 0.39285714285714285, 0.6666666666666666, 0.17857142857142858, 0.14285714285714285]","[0.16, 0.27586206896551724, 0.24, 0.25, 0.12, 0.12]","[0.38461538461538464, 0.42857142857142855, 0.5, 0.16666666666666666, 0.15384615384615385, 0.038461538461538464]","[0.21739130434782608, 0.35714285714285715, 0.34782608695652173, 0.14285714285714285, 0.21739130434782608, 0.17391304347826086]","[0.4782608695652174, 0.5555555555555556, 0.782608695652174, 0.7142857142857143, 0.17391304347826086, 0.4782608695652174]","[0.1875, 0.3333333333333333, 0.375, 0.0, 0.1875, 0.1875]","[0.3333333333333333, 0.36, 0.625, 0.25, 0.125, 0.25]","[0.2727272727272727, 0.38461538461538464, 0.2727272727272727, 0.0, 0.2727272727272727, 0.0]","[0.2, 0.25, 0.26666666666666666, 0.0, 0.13333333333333333, 0.0]"
8,20160412NCSS0,"[3.176470588235294, 0.8823529411764706, 5.0, 5.666666666666667]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.25, 0.058823529411764705, 0.0]","[0.25, 0.3142857142857143, 0.34375, 0.5714285714285714, 0.15625, 0.125]","[0.3793103448275862, 0.4375, 0.4827586206896552, 0.16666666666666666, 0.13793103448275862, 0.034482758620689655]","[0.23076923076923078, 0.375, 0.34615384615384615, 0.25, 0.19230769230769232, 0.19230769230769232]","[0.4074074074074074, 0.4838709677419355, 0.6666666666666666, 0.5555555555555556, 0.14814814814814814, 0.4074074074074074]","[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.2962962962962963, 0.32142857142857145, 0.5555555555555556, 0.25, 0.1111111111111111, 0.2222222222222222]","[0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0]","[0.13793103448275862, 0.24242424242424243, 0.20689655172413793, 0.25, 0.13793103448275862, 0.10344827586206896]"
9,20160413NCSS0,"[3.8571428571428568, 1.3714285714285714, 5.5, 5.833333333333333]","[0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3333333333333333, 0.045454545454545456, 0.0]","[0.2972972972972973, 0.35, 0.4594594594594595, 0.6666666666666666, 0.16216216216216217, 0.16216216216216217]","[0.375, 0.4166666666666667, 0.5625, 0.14285714285714285, 0.15625, 0.09375]","[0.2, 0.3333333333333333, 0.3, 0.2, 0.16666666666666666, 0.16666666666666666]","[0.4, 0.4857142857142857, 0.7333333333333333, 0.5555555555555556, 0.16666666666666666, 0.4]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.3, 0.3225806451612903, 0.5333333333333333, 0.25, 0.1, 0.2]","[0.14285714285714285, 0.18181818181818182, 0.19047619047619047, 0.0, 0.09523809523809523, 0.0]","[0.15625, 0.25, 0.25, 0.2, 0.125, 0.09375]"
10,20160414NCSS0,"[3.75, 1.5, 1.1428571428571428, 6.0]","[0.2916666666666667, 0.32, 0.2916666666666667, 0.3333333333333333, 0.08333333333333333, 0.0]","[0.30952380952380953, 0.35555555555555557, 0.4523809523809524, 0.6363636363636364, 0.16666666666666666, 0.16666666666666666]","[0.32432432432432434, 0.36585365853658536, 0.4864864864864865, 0.125, 0.13513513513513514, 0.08108108108108109]","[0.23529411764705882, 0.35, 0.35294117647058826, 0.25, 0.17647058823529413, 0.17647058823529413]","[0.3939393939393939, 0.48717948717948717, 0.696969696969697, 0.5555555555555556, 0.15151515151515152, 0.36363636363636365]","[0.25, 0.3, 0.25, 0.0, 0.125, 0.125]","[0.28125, 0.34285714285714286, 0.5, 0.25, 0.125, 0.21875]","[0.2, 0.23076923076923078, 0.24, 0.14285714285714285, 0.08, 0.08]","[0.16666666666666666, 0.25, 0.2777777777777778, 0.16666666666666666, 0.1388888888888889, 0.1111111111111111]"
