,date,game_key,김현우,김대우,심창민,임현준,우병걸,안성무,윤대경,박제윤,구준범,정광운,웹스터,플란데,벨레스터,이케빈,레온,최충연,김승현,임대한,김건한,안지만,신용운,윤성환,박근홍,서동환,조현근,장원삼,차우찬,김기태,백정현,장필준,정인욱,박민규,김동호,권오준
0,2016-04-01,20160401OBSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]"
1,2016-04-02,20160402OBSS0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2016-04-05,20160405SSKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 1, 0.3333333333333333]","[0, 1, 27.0, 9.0, 0, 0.3333333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,2016-04-06,20160406SSKT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6, 0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 27.0, 9.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 1, 5.4, 1.2, 0, 1.6666666666666667]"
4,2016-04-07,20160407SSKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6, 0, 1.6666666666666667]","[0, 1, 5.4, 1.2, 2.0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.5, 1.3333333333333333, 0.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 27.0, 9.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 5.4, 1.2, 0, 1.6666666666666667]"
5,2016-04-08,20160408SSLT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.42857142857142855, 0, 1.1666666666666667]","[0, 0, 5.4, 1.2, 2.0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 7.2, 1.8, 1.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 0.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 1, 6.75, 3.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 5.4, 1.2, 0, 1.6666666666666667]"
6,2016-04-09,20160409SSLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.42857142857142855, 0, 1.1666666666666667]","[0, 0, 5.4, 1.2, 2.0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 1.8, 1.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 0.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 2, 0.6666666666666666]","[0, 1, 3.8571428571428568, 2.142857142857143, 0, 0.7777777777777778]","[1, 0, 8.1, 2.1, 2.0, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.5, 1.0, 0.6666666666666666]","[0, 1, 6.75, 1.125, 1, 1.3333333333333333]"
7,2016-04-10,20160410SSLT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 0, 1.0]","[0, 1, 3.375, 1.125, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 1.8, 1.0, 5.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 16.875, 4.125, 0.16666666666666666, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 13.5, 3.0, 2, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 0.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2, 0.6666666666666666]","[0, 0, 3.8571428571428568, 2.142857142857143, 0, 0.7777777777777778]","[0, 0, 8.1, 2.1, 2.0, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.2, 0.5, 1.1111111111111112]","[0, 0, 6.75, 1.125, 1, 1.3333333333333333]"
8,2016-04-12,20160412NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 3.375, 1.125, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 1.8, 1.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.875, 4.125, 0.16666666666666666, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.0, 0.8333333333333334, 3.0, 6.0]","[0, 0, 13.5, 3.0, 2, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 0.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.125, 6, 0.8888888888888888]","[0, 1, 9.0, 2.75, 0.0, 1.0]","[0, 0, 8.1, 2.1, 2.0, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.2, 0.5, 1.1111111111111112]","[0, 1, 12.0, 1.6666666666666667, 1.0, 1.0]"
9,2016-04-13,20160413NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.9090909090909092, 0.0, 0.9166666666666666]","[0, 0, 3.375, 1.125, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 1.8, 1.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.875, 4.125, 0.16666666666666666, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 0.8333333333333334, 3.0, 6.0]","[0, 1, 9.0, 3.0, 3.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.769230769230769, 1.0769230769230769, 1.5, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.125, 6, 0.8888888888888888]","[0, 1, 7.2, 2.2, 0.0, 1.0]","[0, 0, 8.1, 2.1, 2.0, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 0.9230769230769231, 0.5, 1.0833333333333333]","[0, 0, 12.0, 1.6666666666666667, 1.0, 1.0]"
