,date,game_key,임기준,심동섭,홍건희,한승혁,박지훈,김윤동,김종훈,임기영,이민우,문경찬,김명찬,김현준,헥터,정동현,남재현,유승철,팻딘,박진태,정윤환,김광수,배힘찬,고효준,김진우,윤석민,곽정철,김세현,한기주,손영민,박경태,양현종,정용운,임창용,최영필
0,2017-03-31,20170331HTSS0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,2017-04-01,20170401HTSS0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2017-04-02,20170402HTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 54.0, 6.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,2017-04-04,20170404SKHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 54.0, 6.0, 1.0, 0.3333333333333333]","[0, 1, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 54.0, 6.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,2017-04-06,20170406SKHT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.8, 1.7999999999999998, 1.5, 0.8333333333333334]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 9.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 54.0, 6.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
5,2017-04-07,20170407HHHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.8, 1.7999999999999998, 1.5, 0.8333333333333334]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.2857142857142856, 0.8571428571428571, 6, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 54.0, 6.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
6,2017-04-08,20170408HHHT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 0.75, 3.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 12.0, 1.6666666666666667, 1.3333333333333333, 1.0]","[0, 1, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 0.8571428571428571, 6, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 0.8571428571428571, 4.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 54.0, 6.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.75, 0.5, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]"
7,2017-04-09,20170409HHHT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 0.8999999999999999, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.2857142857142856, 2.0, 1.1666666666666667]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 0.8571428571428571, 6, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.8571428571428571, 4.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 54.0, 6.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.35, 1.2, 2.6666666666666665, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 3.8571428571428568, 1.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]"
8,2017-04-11,20170411HTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 2.0, 0.8333333333333334]","[1, 0, 72.0, 9.0, 0.0, 1.0]","[0, 0, 7.7142857142857135, 1.2857142857142856, 2.0, 1.1666666666666667]","[0, 1, 0.0, 0.5, 2.0, 0.6666666666666666]","[0, 1, 12.0, 2.0, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 0.8571428571428571, 6, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.8571428571428571, 4.0, 7.0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.2857142857142856, 3, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.35, 1.2, 2.6666666666666665, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 3.8571428571428568, 1.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]"
9,2017-04-12,20170412HTOB0,"[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 0.8181818181818182, 2.0, 0.7333333333333333]","[0, 0, 72.0, 9.0, 0.0, 1.0]","[0, 1, 6.352941176470588, 1.4117647058823528, 2.0, 1.1333333333333333]","[0, 1, 3.0, 0.6666666666666666, 2.0, 0.75]","[0, 1, 9.0, 1.5, 0.5, 2.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.571428571428571, 0.7142857142857143, 2, 3.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 0.8571428571428571, 6, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.8571428571428571, 4.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.2857142857142856, 3, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.35, 1.2, 2.6666666666666665, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 3.8571428571428568, 1.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]"
