,date,game_key,배민관,신정락,유경국,김지용,이창호,임찬규,송윤준,윤지웅,임정우,최성훈,이준형,소사,류제국,허프,김대현,유재유,고우석,손주영,이창율,이찬혁,신승현,이동현,장진용,차우찬,진해수,유원상,봉중근,정찬헌,최동환,여건욱
0,2017-03-31,20170331LGWO0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,2017-04-01,20170401LGWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2017-04-02,20170402LGWO0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 2.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
3,2017-04-04,20170404SSLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 2.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 0.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
4,2017-04-06,20170406SSLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 2.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.4210526315789473, 0.9473684210526316, 1.0, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 0.0, 3.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
5,2017-04-07,20170407LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 5.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.9473684210526316, 1.0, 6.333333333333333]","[1, 0, 5.4, 1.6, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 4, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 1, 0.0, 4.5, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
6,2017-04-08,20170408LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 5.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 0.375, 1, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.9473684210526316, 1.0, 6.333333333333333]","[0, 0, 5.4, 1.6, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 2, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 6, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0.0, 4.5, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
7,2017-04-09,20170409LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6666666666666666, 5.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.375, 1, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.7142857142857142, 0.5, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.9473684210526316, 1.0, 6.333333333333333]","[0, 0, 5.4, 1.6, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 6, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 1, 0.0, 2.25, 0.5, 0.4444444444444444]","[0, 0, 0, 0, 0, 0]"
8,2017-04-11,20170411LGNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 5.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 3.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.375, 1, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 2.1, 1.3333333333333333, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.9473684210526316, 1.0, 6.333333333333333]","[0, 0, 5.4, 1.6, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 1.105263157894737, 8.0, 6.333333333333333]","[0, 0, 0.0, 0.0, 6, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0.0, 2.25, 0.5, 0.4444444444444444]","[0, 0, 0, 0, 0, 0]"
9,2017-04-12,20170412LGNC0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6923076923076924, 8.0, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 3.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.375, 1, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.1, 1.3333333333333333, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.6428571428571428, 0.7142857142857143, 4.0, 7.0]","[0, 0, 5.4, 1.6, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.105263157894737, 8.0, 6.333333333333333]","[0, 1, 5.4, 0.6, 6, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 1, 7.363636363636363, 2.181818181818182, 1.3333333333333333, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]"
