,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20170331LTNC0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20170401LTNC0,"[0, 0, 0, 0]","[0.25, 0.25, 0.5, 1.0, 0.25, 0.25]","[0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.75, 0.75, 1.5, 1.0, 0.25, 0.5]","[0.25, 0.25, 0.25, 0.0, 0.25, 0.0]","[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[0.25, 0.25, 0.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20170402LTNC0,"[0, 0, 0, 0]","[0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 1.0, 0.2222222222222222, 0.1111111111111111]","[0.125, 0.2222222222222222, 0.25, 0.3333333333333333, 0.125, 0.125]","[0.0, 0.125, 0.0, 0.0, 0.14285714285714285, 0.0]","[0.5714285714285714, 0.625, 1.0, 0.5, 0.2857142857142857, 0.2857142857142857]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.375, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.2857142857142857, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,20170404WOLT0,"[0, 0, 0, 0]","[0.3076923076923077, 0.35714285714285715, 0.6153846153846154, 0.6666666666666666, 0.3076923076923077, 0.15384615384615385]","[0.09090909090909091, 0.2857142857142857, 0.18181818181818182, 0.3333333333333333, 0.18181818181818182, 0.09090909090909091]","[0.09090909090909091, 0.23076923076923078, 0.09090909090909091, 0.0, 0.2727272727272727, 0.0]","[0.5, 0.5833333333333334, 0.8, 0.3333333333333333, 0.3, 0.2]","[0.2857142857142857, 0.25, 0.42857142857142855, 1.0, 0.14285714285714285, 0.42857142857142855]","[0.36363636363636365, 0.46153846153846156, 1.0, 0.5, 0.18181818181818182, 0.36363636363636365]","[0.2, 0.3333333333333333, 0.2, 0.5, 0.2, 0.0]","[0.2, 0.2, 0.3, 0.0, 0.0, 0.0]","[0.2, 0.2727272727272727, 0.5, 0.5, 0.1, 0.3]"
4,20170406WOLT0,"[5.0625, 1.5, 3.5, 5.333333333333333]","[0.35294117647058826, 0.3888888888888889, 0.6470588235294118, 0.75, 0.29411764705882354, 0.17647058823529413]","[0.13333333333333333, 0.2777777777777778, 0.2, 0.4, 0.2, 0.13333333333333333]","[0.13333333333333333, 0.23529411764705882, 0.13333333333333333, 0.0, 0.2, 0.0]","[0.5, 0.5625, 0.9285714285714286, 0.5, 0.2857142857142857, 0.2857142857142857]","[0.3, 0.2727272727272727, 0.7, 1.0, 0.2, 0.4]","[0.2857142857142857, 0.375, 0.7857142857142857, 0.5, 0.14285714285714285, 0.2857142857142857]","[0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.0, 0.07692307692307693, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.23076923076923078, 0.2857142857142857, 0.46153846153846156, 0.5, 0.07692307692307693, 0.23076923076923078]"
5,20170407LGLT0,"[0.0, 1.0, 5.0, 5.0]","[0.4090909090909091, 0.43478260869565216, 0.7727272727272727, 0.8, 0.3181818181818182, 0.22727272727272727]","[0.25, 0.34782608695652173, 0.35, 0.3333333333333333, 0.2, 0.1]","[0.2, 0.2727272727272727, 0.3, 0.5, 0.25, 0.1]","[0.47058823529411764, 0.55, 0.8235294117647058, 0.4, 0.29411764705882354, 0.23529411764705882]","[0.38461538461538464, 0.3333333333333333, 0.7692307692307693, 1.0, 0.15384615384615385, 0.46153846153846156]","[0.29411764705882354, 0.35, 0.7647058823529411, 0.3333333333333333, 0.17647058823529413, 0.29411764705882354]","[0.25, 0.23529411764705882, 0.3125, 0.0, 0.125, 0.0625]","[0.75, 0.75, 1.5, 1.0, 0.5, 0.5]","[0.23529411764705882, 0.2777777777777778, 0.4117647058823529, 0.6666666666666666, 0.058823529411764705, 0.29411764705882354]"
6,20170408LGLT0,"[4.909090909090909, 1.3636363636363638, 2.3333333333333335, 3.6666666666666665]","[0.4074074074074074, 0.42857142857142855, 0.8148148148148148, 0.7142857142857143, 0.3333333333333333, 0.2962962962962963]","[0.17391304347826086, 0.2692307692307692, 0.2608695652173913, 0.4, 0.21739130434782608, 0.08695652173913043]","[0.25, 0.3333333333333333, 0.375, 0.3333333333333333, 0.16666666666666666, 0.125]","[0.4, 0.5, 0.7, 0.3333333333333333, 0.25, 0.2]","[0.35294117647058826, 0.3157894736842105, 0.6470588235294118, 0.6666666666666666, 0.11764705882352941, 0.35294117647058826]","[0.2222222222222222, 0.25, 0.2777777777777778, 0.0, 0.1111111111111111, 0.05555555555555555]","[0.6666666666666666, 0.7142857142857143, 1.1666666666666667, 0.6666666666666666, 0.5, 0.3333333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.23809523809523808, 0.35, 0.4, 0.1, 0.25]"
7,20170409LGLT0,"[0, 0, 0, 0]","[0.3548387096774194, 0.375, 0.7096774193548387, 0.7142857142857143, 0.2903225806451613, 0.25806451612903225]","[0.25, 0.3225806451612903, 0.32142857142857145, 0.5, 0.21428571428571427, 0.10714285714285714]","[0.3103448275862069, 0.375, 0.6206896551724138, 0.3333333333333333, 0.20689655172413793, 0.1724137931034483]","[0.4583333333333333, 0.5357142857142857, 0.75, 0.2857142857142857, 0.25, 0.16666666666666666]","[0.35, 0.34782608695652173, 0.75, 0.5, 0.15, 0.4]","[0, 0, 0, 0, 0, 0]","[0.6666666666666666, 0.75, 1.0, 0.6666666666666666, 0.3333333333333333, 0.2222222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.20833333333333334, 0.24, 0.375, 0.4, 0.125, 0.25]"
8,20170411LTSK0,"[1.35, 1.5, 1.0, 6.666666666666667]","[0.23333333333333334, 0.3611111111111111, 0.3, 0.5, 0.2, 0.13333333333333333]","[0.14285714285714285, 0.25, 0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 0.0]","[0.3333333333333333, 0.40540540540540543, 0.6666666666666666, 0.25, 0.18181818181818182, 0.15151515151515152]","[0.4642857142857143, 0.5454545454545454, 0.8214285714285714, 0.3333333333333333, 0.25, 0.21428571428571427]","[0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.125, 0.3333333333333333]","[0.25, 0.3333333333333333, 0.65, 0.25, 0.15, 0.25]","[0.5833333333333334, 0.6875, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]","[0.21428571428571427, 0.2413793103448276, 0.35714285714285715, 0.375, 0.14285714285714285, 0.21428571428571427]"
9,20170412LTSK0,"[2.9189189189189193, 1.054054054054054, 6.0, 6.166666666666667]","[0.2857142857142857, 0.3902439024390244, 0.37142857142857144, 0.5, 0.17142857142857143, 0.17142857142857143]","[0.11764705882352941, 0.2857142857142857, 0.11764705882352941, 0.2, 0.11764705882352941, 0.0]","[0.3142857142857143, 0.42857142857142855, 0.6285714285714286, 0.2222222222222222, 0.2, 0.14285714285714285]","[0.46875, 0.5526315789473685, 0.78125, 0.3, 0.25, 0.1875]","[0.2857142857142857, 0.3125, 0.5714285714285714, 0.2857142857142857, 0.10714285714285714, 0.2857142857142857]","[0.30434782608695654, 0.3793103448275862, 0.782608695652174, 0.25, 0.21739130434782608, 0.34782608695652173]","[0.47058823529411764, 0.5714285714285714, 0.6470588235294118, 0.5, 0.29411764705882354, 0.17647058823529413]","[0.20833333333333334, 0.23076923076923078, 0.2916666666666667, 0.0, 0.08333333333333333, 0.041666666666666664]","[0.1875, 0.23529411764705882, 0.3125, 0.3333333333333333, 0.125, 0.1875]"
