,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20170331HTSS0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20170401HTSS0,"[0, 0, 0, 0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.5, 1.5, 0.0, 0.25, 0.25]","[0.25, 0.25, 1.0, 0.0, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20170402HTSS0,"[0, 0, 0, 0]","[0.14285714285714285, 0.25, 0.14285714285714285, 0.0, 0.0, 0.0]","[0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.0, 0.0, 0.0]","[0.25, 0.3333333333333333, 0.75, 0.0, 0.125, 0.125]","[0.14285714285714285, 0.4, 0.5714285714285714, 0.0, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 1.0, 0.3333333333333333, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.0, 0.0]"
3,20170404SSLG0,"[0, 0, 0, 0]","[0.18181818181818182, 0.3076923076923077, 0.2727272727272727, 0.25, 0.18181818181818182, 0.18181818181818182]","[0.36363636363636365, 0.36363636363636365, 0.7272727272727273, 0.75, 0.2727272727272727, 0.2727272727272727]","[0.4166666666666667, 0.5, 0.75, 0.4, 0.25, 0.25]","[0.18181818181818182, 0.4, 0.45454545454545453, 0.2, 0.2727272727272727, 0.18181818181818182]","[0.3333333333333333, 0.3076923076923077, 0.5833333333333334, 0.5, 0.08333333333333333, 0.3333333333333333]","[0.2222222222222222, 0.36363636363636365, 0.2222222222222222, 0.0, 0.2222222222222222, 0.0]","[0.36363636363636365, 0.36363636363636365, 0.5454545454545454, 0.3333333333333333, 0.18181818181818182, 0.18181818181818182]","[0.36363636363636365, 0.4166666666666667, 0.36363636363636365, 0.0, 0.18181818181818182, 0.0]","[0.3333333333333333, 0.5, 0.6666666666666666, 0.0, 0.0, 0.0]"
4,20170406SSLG0,"[1.4210526315789473, 0.9473684210526316, 1.0, 6.333333333333333]","[0.26666666666666666, 0.3888888888888889, 0.3333333333333333, 0.25, 0.13333333333333333, 0.13333333333333333]","[0.42857142857142855, 0.4666666666666667, 0.42857142857142855, 0.0, 0.14285714285714285, 0.0]","[0.3125, 0.3888888888888889, 0.5625, 0.25, 0.1875, 0.1875]","[0.13333333333333333, 0.3157894736842105, 0.3333333333333333, 0.14285714285714285, 0.2, 0.13333333333333333]","[0.3125, 0.29411764705882354, 0.5, 0.5, 0.0625, 0.25]","[0.3076923076923077, 0.4, 0.3076923076923077, 0.0, 0.15384615384615385, 0.0]","[0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.25, 0.14285714285714285, 0.14285714285714285]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.2222222222222222, 0.1111111111111111]","[0.2857142857142857, 0.3333333333333333, 0.5714285714285714, 0.6, 0.21428571428571427, 0.21428571428571427]"
5,20170407SSKT0,"[5.684210526315789, 1.2631578947368423, 7, 6.333333333333333]","[0.2631578947368421, 0.36363636363636365, 0.3157894736842105, 0.25, 0.10526315789473684, 0.10526315789473684]","[0.4117647058823529, 0.4444444444444444, 0.4117647058823529, 0.0, 0.11764705882352941, 0.0]","[0.3, 0.36363636363636365, 0.5, 0.2222222222222222, 0.15, 0.15]","[0.10526315789473684, 0.2608695652173913, 0.2631578947368421, 0.125, 0.15789473684210525, 0.10526315789473684]","[0.2631578947368421, 0.25, 0.42105263157894735, 0.3333333333333333, 0.05263157894736842, 0.21052631578947367]","[0.25, 0.3333333333333333, 0.25, 0.0, 0.125, 0.0]","[0.29411764705882354, 0.29411764705882354, 0.5294117647058824, 0.25, 0.11764705882352941, 0.11764705882352941]","[0.25, 0.25, 0.25, 0.5, 0.16666666666666666, 0.08333333333333333]","[0.25, 0.29411764705882354, 0.5, 0.5, 0.1875, 0.1875]"
6,20170408SSKT0,"[3.0, 1.5, 3.0, 6.0]","[0.2608695652173913, 0.34615384615384615, 0.30434782608695654, 0.25, 0.08695652173913043, 0.08695652173913043]","[0.3, 0.3333333333333333, 0.5, 0.5, 0.15, 0.15]","[0.2608695652173913, 0.34615384615384615, 0.43478260869565216, 0.2, 0.17391304347826086, 0.13043478260869565]","[0.13636363636363635, 0.2962962962962963, 0.4090909090909091, 0.125, 0.18181818181818182, 0.18181818181818182]","[0.2608695652173913, 0.25, 0.391304347826087, 0.25, 0.043478260869565216, 0.17391304347826086]","[0.25, 0.2857142857142857, 0.45, 0.25, 0.1, 0.1]","[0.2, 0.2727272727272727, 0.2, 0.0, 0.1, 0.0]","[0.42857142857142855, 0.45454545454545453, 0.42857142857142855, 0.25, 0.09523809523809523, 0.0]","[0.2857142857142857, 0.375, 0.42857142857142855, 0.0, 0.0, 0.0]"
7,20170409SSKT0,"[0, 0, 0, 0]","[0.2692307692307692, 0.36666666666666664, 0.3076923076923077, 0.2, 0.07692307692307693, 0.07692307692307693]","[0.3333333333333333, 0.36, 0.5, 0.5714285714285714, 0.125, 0.125]","[0.23076923076923078, 0.3333333333333333, 0.38461538461538464, 0.18181818181818182, 0.15384615384615385, 0.11538461538461539]","[0.12, 0.2903225806451613, 0.36, 0.1111111111111111, 0.16, 0.16]","[0.2222222222222222, 0.21428571428571427, 0.3333333333333333, 0.2, 0.037037037037037035, 0.14814814814814814]","[0.17391304347826086, 0.24, 0.17391304347826086, 0.0, 0.08695652173913043, 0.0]","[0.3333333333333333, 0.4, 0.4444444444444444, 0.0, 0.0, 0.0]","[0.36, 0.38461538461538464, 0.36, 0.2, 0.08, 0.0]","[0, 0, 0, 0, 0, 0]"
8,20170411HHSS0,"[12.0, 3.6666666666666665, 2, 3.0]","[0.3, 0.38235294117647056, 0.3333333333333333, 0.2, 0.06666666666666667, 0.06666666666666667]","[0.32142857142857145, 0.3448275862068966, 0.32142857142857145, 0.2, 0.07142857142857142, 0.0]","[0.2, 0.29411764705882354, 0.3333333333333333, 0.16666666666666666, 0.13333333333333333, 0.1]","[0.10714285714285714, 0.2647058823529412, 0.32142857142857145, 0.1111111111111111, 0.14285714285714285, 0.14285714285714285]","[0.20689655172413793, 0.22580645161290322, 0.3103448275862069, 0.2, 0.034482758620689655, 0.13793103448275862]","[0.15384615384615385, 0.21428571428571427, 0.15384615384615385, 0.0, 0.07692307692307693, 0.0]","[0.2727272727272727, 0.3333333333333333, 0.36363636363636365, 0.0, 0.0, 0.0]","[0.36, 0.38461538461538464, 0.52, 0.25, 0.08, 0.08]","[0.32142857142857145, 0.3448275862068966, 0.4642857142857143, 0.625, 0.10714285714285714, 0.10714285714285714]"
9,20170412HHSS0,"[3.0857142857142854, 1.2, 1.6666666666666667, 5.833333333333333]","[0.34285714285714286, 0.4, 0.37142857142857144, 0.3333333333333333, 0.11428571428571428, 0.08571428571428572]","[0.3333333333333333, 0.35294117647058826, 0.48484848484848486, 0.6666666666666666, 0.15151515151515152, 0.12121212121212122]","[0.22857142857142856, 0.325, 0.37142857142857144, 0.25, 0.11428571428571428, 0.14285714285714285]","[0.23529411764705882, 0.2702702702702703, 0.4117647058823529, 0.16666666666666666, 0.058823529411764705, 0.11764705882352941]","[0.3333333333333333, 0.3548387096774194, 0.4666666666666667, 0.16666666666666666, 0.06666666666666667, 0.1]","[0.2, 0.2, 0.2, 0.5, 0.13333333333333333, 0.06666666666666667]","[0.09090909090909091, 0.25, 0.2727272727272727, 0.09090909090909091, 0.12121212121212122, 0.12121212121212122]","[0.3333333333333333, 0.35294117647058826, 0.3333333333333333, 0.25, 0.06060606060606061, 0.030303030303030304]","[0.3333333333333333, 0.4117647058823529, 0.6, 0.5, 0.13333333333333333, 0.06666666666666667]"
