,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20170331LGWO0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20170401LGWO0,"[0, 0, 0, 0]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.3333333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 1.0, 0.0, 0.3333333333333333, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20170402LGWO0,"[0, 0, 0, 0]","[0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0]","[0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.3333333333333333, 0.14285714285714285, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.0, 0.14285714285714285, 0.0]","[0.42857142857142855, 0.5, 0.5714285714285714, 0.5, 0.14285714285714285, 0.2857142857142857]","[0.14285714285714285, 0.25, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,20170404WOLT0,"[0, 0, 0, 0]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.4, 0.0, 0.1, 0.0]","[0, 0, 0, 0, 0, 0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.36363636363636365, 0.4166666666666667, 0.45454545454545453, 0.3333333333333333, 0.09090909090909091, 0.18181818181818182]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.0, 0.0]","[0.4, 0.45454545454545453, 0.8, 0.3333333333333333, 0.1, 0.1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,20170406WOLT0,"[0, 0, 0, 0]","[0.07692307692307693, 0.29411764705882354, 0.07692307692307693, 0.0, 0.0, 0.0]","[0.375, 0.4444444444444444, 0.375, 0.0, 0.125, 0.0]","[0.1, 0.16666666666666666, 0.1, 0.0, 0.0, 0.2]","[0, 0, 0, 0, 0, 0]","[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]","[0.2857142857142857, 0.3125, 0.35714285714285715, 0.3333333333333333, 0.07142857142857142, 0.21428571428571427]","[1.0, 1.0, 2.0, 0.0, 1.0, 0.0]","[0.3076923076923077, 0.35714285714285715, 0.6153846153846154, 0.3333333333333333, 0.07692307692307693, 0.07692307692307693]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,20170407WOOB0,"[1.5, 1.0, 2.0, 6.0]","[0.2727272727272727, 0.38461538461538464, 0.5454545454545454, 0.3333333333333333, 0.09090909090909091, 0.09090909090909091]","[0.3333333333333333, 0.38461538461538464, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]","[0.058823529411764705, 0.23809523809523808, 0.058823529411764705, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0.3125, 0.3125, 0.3125, 0.4, 0.0, 0.0]","[0.23529411764705882, 0.2631578947368421, 0.29411764705882354, 0.3333333333333333, 0.058823529411764705, 0.17647058823529413]","[0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.0, 0.07142857142857142, 0.0]","[0.25, 0.29411764705882354, 0.5, 0.3333333333333333, 0.0625, 0.0625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,20170408WOOB0,"[12.6, 1.6, 4.0, 5.0]","[0.26666666666666666, 0.3888888888888889, 0.4666666666666667, 0.25, 0.06666666666666667, 0.06666666666666667]","[0.23529411764705882, 0.2777777777777778, 0.23529411764705882, 0.0, 0.11764705882352941, 0.0]","[0.22727272727272727, 0.34615384615384615, 0.5, 0.0, 0.09090909090909091, 0.045454545454545456]","[0, 0, 0, 0, 0, 0]","[0.2857142857142857, 0.2857142857142857, 0.3333333333333333, 0.375, 0.047619047619047616, 0.047619047619047616]","[0.2857142857142857, 0.30434782608695654, 0.42857142857142855, 0.6, 0.047619047619047616, 0.23809523809523808]","[0.21428571428571427, 0.25, 0.2857142857142857, 0.0, 0.0, 0.14285714285714285]","[0.21052631578947367, 0.2857142857142857, 0.42105263157894735, 0.3333333333333333, 0.10526315789473684, 0.05263157894736842]","[0.058823529411764705, 0.1111111111111111, 0.11764705882352941, 0.25, 0.0, 0.11764705882352941]"
7,20170409WOOB0,"[7.5, 1.3333333333333333, 5, 6.0]","[0.38095238095238093, 0.4583333333333333, 0.5238095238095238, 0.3333333333333333, 0.14285714285714285, 0.047619047619047616]","[0.3181818181818182, 0.375, 0.5909090909090909, 0.3333333333333333, 0.2727272727272727, 0.22727272727272727]","[0.25, 0.34375, 0.5, 0.5, 0.14285714285714285, 0.10714285714285714]","[0, 0, 0, 0, 0, 0]","[0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.375, 0.07692307692307693, 0.038461538461538464]","[0.3076923076923077, 0.32142857142857145, 0.4230769230769231, 0.5714285714285714, 0.07692307692307693, 0.2692307692307692]","[0.6, 0.6666666666666666, 1.4, 0.0, 0.4, 0.2]","[0.20833333333333334, 0.2692307692307692, 0.4166666666666667, 0.2, 0.125, 0.041666666666666664]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,20170411KTWO0,"[4.263157894736842, 0.7894736842105263, 5.0, 6.333333333333333]","[0.375, 0.4642857142857143, 0.5, 0.42857142857142855, 0.16666666666666666, 0.125]","[0.2857142857142857, 0.3333333333333333, 0.5, 0.4, 0.25, 0.21428571428571427]","[0.2727272727272727, 0.35135135135135137, 0.48484848484848486, 0.6666666666666666, 0.15151515151515152, 0.12121212121212122]","[0, 0, 0, 0, 0, 0]","[0.3448275862068966, 0.36666666666666664, 0.4482758620689655, 0.4444444444444444, 0.13793103448275862, 0.10344827586206896]","[0.3333333333333333, 0.34375, 0.43333333333333335, 0.5555555555555556, 0.13333333333333333, 0.23333333333333334]","[0.6666666666666666, 0.7272727272727273, 1.2222222222222223, 1.0, 0.3333333333333333, 0.4444444444444444]","[0.20689655172413793, 0.25806451612903225, 0.3793103448275862, 0.2857142857142857, 0.13793103448275862, 0.06896551724137931]","[0.09523809523809523, 0.17391304347826086, 0.14285714285714285, 0.4, 0.047619047619047616, 0.14285714285714285]"
9,20170412KTWO0,"[9.0, 2.0, 5, 4.0]","[0.3103448275862069, 0.3939393939393939, 0.41379310344827586, 0.375, 0.1724137931034483, 0.10344827586206896]","[0.30303030303030304, 0.34285714285714286, 0.5454545454545454, 0.4, 0.2727272727272727, 0.21212121212121213]","[0.32432432432432434, 0.40476190476190477, 0.5675675675675675, 0.8, 0.16216216216216217, 0.16216216216216217]","[0, 0, 0, 0, 0, 0]","[0.36666666666666664, 0.3870967741935484, 0.5666666666666667, 0.4444444444444444, 0.16666666666666666, 0.13333333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6923076923076923, 0.75, 1.1538461538461537, 0.75, 0.3076923076923077, 0.5384615384615384]","[0.21212121212121213, 0.2571428571428571, 0.45454545454545453, 0.3333333333333333, 0.15151515151515152, 0.15151515151515152]","[0.16, 0.2222222222222222, 0.2, 0.4, 0.04, 0.12]"
