,date,game_key,이재학,김건태,노성호,이민호,이형범,최금강,윤강민,장현식,박진우,심규범,배재환,류재인,구창모,이우석,최성영,정수민,김영규,김재균,김시훈,왕웨이중,베렛,공수빈,김진성,원종현,유원상,임창민,민태호,강윤구
0,2018-03-24,20180324LGNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]"
1,2018-03-25,20180325LGNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.3333333333333333]"
2,2018-03-27,20180327HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.0, 1, 1.0]","[0, 1, 0.0, 0.0, 1, 0.6666666666666666]","[0, 1, 0.0, 0.75, 0.0, 1.3333333333333333]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 13.5, 1.5, 1, 0.3333333333333333]"
3,2018-03-28,20180328HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 1, 0.0, 0.6, 2.0, 0.8333333333333334]","[0, 1, 0.0, 1.0, 0.0, 1.5]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 1.5, 1, 0.3333333333333333]"
4,2018-03-29,20180329HHNC0,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.2, 1, 0.8333333333333334]","[0, 0, 0.0, 0.6, 2.0, 0.8333333333333334]","[0, 0, 0.0, 1.0, 0.0, 1.5]","[0, 1, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 0.75, 1, 0.4444444444444444]"
5,2018-03-30,20180330NCLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.2857142857142856, 1.0, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.2, 1, 0.8333333333333334]","[0, 0, 0.0, 0.6, 2.0, 0.8333333333333334]","[0, 1, 0.0, 0.75, 0.0, 1.3333333333333333]","[0, 1, 0.0, 0.3333333333333333, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 0.5, 1, 0.5]"
6,2018-03-31,20180331NCLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.7999999999999998, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 1.0, 6.0, 7.0]","[1, 0, 0.0, 0.8823529411764706, 2.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.2857142857142856, 1.0, 0.7777777777777778]","[0, 1, 15.428571428571427, 2.142857142857143, 2.0, 0.7777777777777778]","[0, 1, 0.0, 0.75, 1.0, 1.3333333333333333]","[0, 0, 0.0, 0.3333333333333333, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 0.5, 1, 0.5]"
7,2018-04-01,20180401NCLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[1, 0, 7.363636363636363, 1.9090909090909092, 1.3333333333333333, 3.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.3333333333333333, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 1.0, 6.0, 7.0]","[0, 0, 0.0, 0.8823529411764706, 2.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 0.8181818181818182, 1.0, 0.9166666666666666]","[0, 1, 15.0, 2.6666666666666665, 1.0, 0.75]","[0, 0, 0.0, 0.75, 1.0, 1.3333333333333333]","[0, 1, 2.4545454545454546, 0.5454545454545455, 4, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 0.375, 1, 0.5333333333333333]"
8,2018-04-03,20180403SSNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 1.9090909090909092, 1.3333333333333333, 3.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2, 4.0, 1.25]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.0, 1.3333333333333333, 1.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 1.0, 6.0, 7.0]","[0, 0, 0.0, 0.8823529411764706, 2.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.153846153846154, 1.0, 0.8666666666666666]","[0, 0, 15.0, 2.6666666666666665, 1.0, 0.75]","[0, 1, 0.0, 0.8333333333333334, 1.0, 1.2]","[0, 0, 2.4545454545454546, 0.5454545454545455, 4, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 0.3333333333333333, 1, 0.5]"
9,2018-04-04,20180404SSNC0,"[1, 0, 1.5, 0.8333333333333334, 2.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 1.9090909090909092, 1.3333333333333333, 3.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 4.0, 1.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3333333333333333, 1.3333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.375, 0, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2857142857142856, 1.0, 6.0, 7.0]","[0, 0, 0.0, 0.8823529411764706, 2.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.153846153846154, 1.0, 0.8666666666666666]","[0, 0, 15.0, 2.6666666666666665, 1.0, 0.75]","[0, 0, 0.0, 0.8333333333333334, 1.0, 1.2]","[0, 1, 2.25, 0.75, 5, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 0.3333333333333333, 1, 0.5]"
