,date,game_key,박시영,장국헌,김원중,정태승,홍성민,박진형,구승민,박세웅,이인복,최영환,조무근,차재용,레일리,한승혁,윤성빈,최하늘,이승헌,정성종,김현수,서준원,톰슨,강민성,박진,다익손,고효준,윤길현,박근홍,손승락,김건국,배장호,장시환,송승준,오현택,진명호
0,2019-03-23,20190323WOLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]"
1,2019-03-24,20190324WOLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.5, 0, 1.3333333333333333]"
2,2019-03-26,20190326SSLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 1.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 4.5, 1.5, 2, 1.0]"
3,2019-03-27,20190327SSLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 3.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 18.0, 2.0, 1, 1.0]","[0, 0, 4.5, 1.5, 2, 1.0]"
4,2019-03-28,20190328SSLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.5, 3, 1.0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 1, 1.0]","[0, 0, 4.5, 1.5, 2, 1.0]"
5,2019-03-29,20190329LTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[1, 0, 11.25, 2.0, 2.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 1, 1.0]","[0, 1, 2.7, 0.8999999999999999, 5, 1.1111111111111112]"
6,2019-03-30,20190330LTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.375, 0.9375, 6.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 11.25, 2.0, 2.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 1.0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 3, 1.0]","[0, 1, 6.75, 3.75, 1.0, 1.3333333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 1, 1.0]","[0, 0, 2.7, 0.8999999999999999, 5, 1.1111111111111112]"
7,2019-03-31,20190331LTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.9375, 6.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 0.8571428571428571, 1.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 11.25, 2.0, 2.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 2.0, 2.0]","[1, 0, 0.0, 0.7058823529411764, 2.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.363636363636363, 1.6363636363636365, 4.0, 1.222222222222222]","[0, 0, 6.75, 3.75, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 1, 1.0]","[0, 1, 1.9285714285714284, 0.8571428571428571, 8.0, 1.1666666666666667]"
8,2019-04-02,20190402LTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.9375, 6.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.7142857142857142, 0.6666666666666666, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 11.25, 2.0, 2.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.2857142857142856, 1.0, 1.1666666666666667]","[0, 0, 0.0, 0.7058823529411764, 2.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.6153846153846154, 5.0, 1.0833333333333333]","[0, 0, 6.75, 3.75, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 20.25, 3.375, 1.0, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 1, 1.0]","[0, 1, 1.9285714285714284, 1.0714285714285714, 8.0, 0.9333333333333333]"
9,2019-04-03,20190403LTSK0,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.9375, 6.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.2, 0.6666666666666666, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 11.25, 2.0, 2.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.2857142857142856, 1.0, 1.1666666666666667]","[0, 0, 0.0, 0.7058823529411764, 2.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.6153846153846154, 5.0, 1.0833333333333333]","[0, 1, 4.5, 2.5, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.5, 1, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.375, 1.0, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 1, 1.0]","[0, 0, 1.9285714285714284, 1.0714285714285714, 8.0, 0.9333333333333333]"
