,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20190323HHOB0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20190324HHOB0,"[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0.5, 0.5, 1.25, 0.0, 0.5, 0.5]","[0.0, 0.5, 0.0, 0.0, 0.5, 0.0]","[0.0, 0.5, 0.0, 0.0, 0.5, 0.0]","[0.5, 0.5, 0.75, 1.0, 0.0, 0.75]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20190326WOOB0,"[0, 0, 0, 0]","[0.125, 0.125, 0.125, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.5, 1.0, 0.0, 0.5]","[0.25, 0.25, 0.625, 0.0, 0.25, 0.25]","[0.0, 0.2857142857142857, 0.0, 0.0, 0.2, 0.0]","[0.0, 0.42857142857142855, 0.0, 0.0, 0.25, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.2857142857142857, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]"
3,20190327WOOB0,"[0, 0, 0, 0]","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.0, 0.0, 0.0]","[0.25, 0.4, 0.375, 1.0, 0.25, 0.5]","[0.4166666666666667, 0.4166666666666667, 0.6666666666666666, 1.0, 0.25, 0.3333333333333333]","[0.25, 0.45454545454545453, 0.75, 0.5, 0.25, 0.5]","[0.0, 0.45454545454545453, 0.0, 0.0, 0.16666666666666666, 0.0]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,20190328WOOB0,"[0, 0, 0, 0]","[0.25, 0.25, 0.3125, 0.3333333333333333, 0.0625, 0.0]","[0.4166666666666667, 0.5, 0.5, 1.0, 0.25, 0.4166666666666667]","[0.375, 0.375, 0.5625, 1.0, 0.1875, 0.3125]","[0.3333333333333333, 0.4666666666666667, 0.6666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333]","[0.0, 0.42857142857142855, 0.0, 0.0, 0.125, 0.0]","[0.08333333333333333, 0.15384615384615385, 0.08333333333333333, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.23076923076923078, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.0, 0.15384615384615385, 0.0]","[0.2, 0.3333333333333333, 0.2, 1.0, 0.2, 0.1]"
5,20190329OBSS0,"[3.176470588235294, 1.9411764705882353, 2.5, 5.666666666666667]","[0.2857142857142857, 0.2857142857142857, 0.3333333333333333, 0.25, 0.09523809523809523, 0.0]","[0.3333333333333333, 0.47368421052631576, 0.4, 0.75, 0.26666666666666666, 0.3333333333333333]","[0.4, 0.4, 0.55, 0.6666666666666666, 0.15, 0.25]","[0.26666666666666666, 0.42105263157894735, 0.5333333333333333, 0.5, 0.2, 0.26666666666666666]","[0.09090909090909091, 0.4444444444444444, 0.09090909090909091, 0.0, 0.18181818181818182, 0.09090909090909091]","[0.125, 0.17647058823529413, 0.125, 0.2, 0.0, 0.125]","[0.1875, 0.23529411764705882, 0.1875, 0.0, 0.0, 0.0]","[0.13333333333333333, 0.1875, 0.13333333333333333, 0.0, 0.13333333333333333, 0.0]","[0.3076923076923077, 0.4375, 0.3076923076923077, 1.0, 0.15384615384615385, 0.15384615384615385]"
6,20190330OBSS0,"[3.0, 1.1666666666666667, 3.0, 6.0]","[0.23076923076923078, 0.23076923076923078, 0.2692307692307692, 0.2, 0.07692307692307693, 0.0]","[0.3684210526315789, 0.5, 0.42105263157894735, 0.8, 0.2631578947368421, 0.3157894736842105]","[0.4, 0.4, 0.52, 0.6666666666666666, 0.12, 0.2]","[0.2631578947368421, 0.4166666666666667, 0.47368421052631576, 0.6666666666666666, 0.15789473684210525, 0.21052631578947367]","[0.1875, 0.43478260869565216, 0.1875, 0.16666666666666666, 0.125, 0.125]","[0.15789473684210525, 0.23809523809523808, 0.21052631578947367, 0.2, 0.0, 0.10526315789473684]","[0.21052631578947367, 0.2857142857142857, 0.3684210526315789, 0.0, 0.05263157894736842, 0.05263157894736842]","[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[0.29411764705882354, 0.4, 0.35294117647058826, 0.3333333333333333, 0.17647058823529413, 0.11764705882352941]"
7,20190331OBSS0,"[1.8, 1.2, 3.0, 5.0]","[0.2631578947368421, 0.391304347826087, 0.3157894736842105, 0.25, 0.15789473684210525, 0.10526315789473684]","[0.391304347826087, 0.5, 0.43478260869565216, 0.8, 0.21739130434782608, 0.2608695652173913]","[0.37037037037037035, 0.41379310344827586, 0.48148148148148145, 0.6666666666666666, 0.14814814814814814, 0.18518518518518517]","[0.21739130434782608, 0.35714285714285715, 0.391304347826087, 0.5, 0.13043478260869565, 0.17391304347826086]","[0.2, 0.4074074074074074, 0.35, 0.2857142857142857, 0.15, 0.25]","[0.13043478260869565, 0.2, 0.17391304347826086, 0.2, 0.0, 0.08695652173913043]","[0.18181818181818182, 0.28, 0.3181818181818182, 0.0, 0.09090909090909091, 0.045454545454545456]","[0.16666666666666666, 0.25, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0]","[0.0, 0.5, 0.0, 0.0, 1.0, 0.0]"
8,20190402KTOB0,"[2.571428571428571, 0.8571428571428571, 4.0, 7.0]","[0.30434782608695654, 0.42857142857142855, 0.43478260869565216, 0.4, 0.17391304347826086, 0.17391304347826086]","[0.39285714285714285, 0.48484848484848486, 0.42857142857142855, 0.625, 0.25, 0.21428571428571427]","[0.3125, 0.35294117647058826, 0.40625, 0.5, 0.125, 0.15625]","[0.2857142857142857, 0.3939393939393939, 0.6428571428571429, 0.6, 0.17857142857142858, 0.35714285714285715]","[0.16, 0.34375, 0.28, 0.2857142857142857, 0.12, 0.2]","[0.2, 0.2, 0.23333333333333334, 0.16666666666666666, 0.06666666666666667, 0.0]","[0.15384615384615385, 0.2413793103448276, 0.2692307692307692, 0.0, 0.07692307692307693, 0.038461538461538464]","[0.18181818181818182, 0.25, 0.22727272727272727, 0.3333333333333333, 0.09090909090909091, 0.045454545454545456]","[0.125, 0.27586206896551724, 0.16666666666666666, 0.2, 0.08333333333333333, 0.08333333333333333]"
9,20190403KTOB0,"[4.5, 1.5, 0.0, 6.0]","[0.38461538461538464, 0.5, 0.5384615384615384, 0.5, 0.19230769230769232, 0.19230769230769232]","[0.40625, 0.47368421052631576, 0.5, 0.5555555555555556, 0.25, 0.28125]","[0.2857142857142857, 0.358974358974359, 0.37142857142857144, 0.3333333333333333, 0.14285714285714285, 0.17142857142857143]","[0.28125, 0.3684210526315789, 0.59375, 0.5, 0.15625, 0.375]","[0.13793103448275862, 0.3055555555555556, 0.2413793103448276, 0.2222222222222222, 0.10344827586206896, 0.1724137931034483]","[0.20588235294117646, 0.20588235294117646, 0.23529411764705882, 0.2857142857142857, 0.058823529411764705, 0.029411764705882353]","[0.16666666666666666, 0.24242424242424243, 0.26666666666666666, 0.0, 0.1, 0.03333333333333333]","[0.2, 0.25925925925925924, 0.24, 0.3333333333333333, 0.16, 0.04]","[0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0]"
