,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20190323KTSK0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20190324KTSK0,"[0, 0, 0, 0]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0]","[0.3333333333333333, 0.5, 1.3333333333333333, 0.0, 0.6666666666666666, 0.6666666666666666]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.5, 1.5, 0.0, 0.5, 0.5]","[0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.0, 0.0]","[0.25, 0.25, 0.25, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.4, 0.25, 1.0, 0.25, 0.25]"
2,20190326LGSK0,"[0, 0, 0, 0]","[0.125, 0.2222222222222222, 0.125, 0.5, 0.125, 0.125]","[0.42857142857142855, 0.5, 1.2857142857142858, 0.5, 0.42857142857142855, 0.5714285714285714]","[0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.375, 0.375, 0.875, 0.0, 0.375, 0.25]","[0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.0, 0.3333333333333333]","[0.5714285714285714, 0.625, 0.7142857142857143, 0.0, 0.42857142857142855, 0.0]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.5, 0.0, 0.14285714285714285]","[0.5, 0.75, 0.5, 0.0, 0.0, 0.0]","[0.125, 0.125, 0.125, 0.0, 0.0, 0.0]"
3,20190327LGSK0,"[0, 0, 0, 0]","[0.18181818181818182, 0.25, 0.18181818181818182, 0.5, 0.09090909090909091, 0.09090909090909091]","[0.45454545454545453, 0.5, 1.3636363636363635, 0.5, 0.36363636363636365, 0.45454545454545453]","[0.0, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.25, 0.5833333333333334, 0.0, 0.25, 0.16666666666666666]","[0.3, 0.4166666666666667, 0.4, 1.0, 0.1, 0.2]","[0.45454545454545453, 0.5, 0.5454545454545454, 0.0, 0.36363636363636365, 0.0]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.5, 0.0, 0.1111111111111111]","[0.6, 0.7142857142857143, 0.8, 0.6666666666666666, 0.0, 0.4]","[0.3333333333333333, 0.5, 1.3333333333333333, 1.0, 0.3333333333333333, 0.6666666666666666]"
4,20190328LGSK0,"[0, 0, 0, 0]","[0.4, 0.4375, 0.5333333333333333, 0.0, 0.26666666666666666, 0.0]","[0.4, 0.47058823529411764, 1.1333333333333333, 0.5, 0.26666666666666666, 0.3333333333333333]","[0.0625, 0.11764705882352941, 0.125, 0.2, 0.0, 0.0625]","[0.1875, 0.1875, 0.4375, 0.0, 0.1875, 0.125]","[0.2857142857142857, 0.375, 0.5714285714285714, 1.0, 0.14285714285714285, 0.21428571428571427]","[0.2, 0.2727272727272727, 0.2, 0.5, 0.0, 0.1]","[0.16666666666666666, 0.2857142857142857, 0.6666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.45454545454545453, 0.4444444444444444, 0.5, 0.0, 0.2222222222222222]","[0.1875, 0.23529411764705882, 0.1875, 0.5, 0.125, 0.0625]"
5,20190329SKWO0,"[6.0, 1.8333333333333333, 2.3333333333333335, 6.0]","[0.16666666666666666, 0.25, 0.16666666666666666, 0.5, 0.1111111111111111, 0.05555555555555555]","[0.3684210526315789, 0.42857142857142855, 0.9473684210526315, 0.5, 0.2631578947368421, 0.2631578947368421]","[0.3157894736842105, 0.35, 0.42105263157894735, 0.0, 0.21052631578947367, 0.0]","[0.25, 0.25, 0.5, 0.0, 0.2, 0.1]","[0.2777777777777778, 0.35, 0.6666666666666666, 0.6666666666666666, 0.16666666666666666, 0.2777777777777778]","[0.05, 0.09523809523809523, 0.1, 0.2, 0.0, 0.05]","[0.2, 0.35714285714285715, 0.2, 0.5, 0.0, 0.2]","[0.25, 0.35714285714285715, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0, 0.0, 0.0]"
6,20190330SKWO0,"[5.4, 1.8, 2.3333333333333335, 5.0]","[0.19047619047619047, 0.32, 0.19047619047619047, 0.5, 0.14285714285714285, 0.047619047619047616]","[0.375, 0.4230769230769231, 0.8333333333333334, 0.25, 0.25, 0.20833333333333334]","[0.34782608695652173, 0.4, 0.43478260869565216, 0.0, 0.17391304347826086, 0.043478260869565216]","[0.24, 0.24, 0.48, 0.0, 0.16, 0.08]","[0.22727272727272727, 0.2916666666666667, 0.5454545454545454, 0.4, 0.13636363636363635, 0.22727272727272727]","[0.09523809523809523, 0.24, 0.14285714285714285, 0.3333333333333333, 0.09523809523809523, 0.09523809523809523]","[0.3076923076923077, 0.4117647058823529, 0.46153846153846156, 0.5, 0.0, 0.15384615384615385]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.0, 0.0, 0.06666666666666667]"
7,20190331SKWO0,"[0, 0, 0, 0]","[0.16666666666666666, 0.2857142857142857, 0.16666666666666666, 0.5, 0.125, 0.041666666666666664]","[0.32142857142857145, 0.36666666666666664, 0.7142857142857143, 0.2, 0.21428571428571427, 0.17857142857142858]","[0.34615384615384615, 0.41379310344827586, 0.4230769230769231, 0.0, 0.15384615384615385, 0.038461538461538464]","[0.25, 0.3333333333333333, 0.5416666666666666, 0.4, 0.16666666666666666, 0.20833333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08333333333333333, 0.21428571428571427, 0.125, 0.2857142857142857, 0.08333333333333333, 0.08333333333333333]","[0.1875, 0.2777777777777778, 0.25, 0.3333333333333333, 0.0, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.17647058823529413, 0.17647058823529413, 0.17647058823529413, 0.0, 0.0, 0.058823529411764705]"
8,20190402LTSK0,"[0.0, 1.5, 1.25, 6.0]","[0.1724137931034483, 0.2727272727272727, 0.1724137931034483, 0.6666666666666666, 0.13793103448275862, 0.06896551724137931]","[0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0.4, 0.47058823529411764, 0.5666666666666667, 0.16666666666666666, 0.16666666666666666, 0.13333333333333333]","[0.20689655172413793, 0.20689655172413793, 0.41379310344827586, 0.0, 0.13793103448275862, 0.06896551724137931]","[0.27586206896551724, 0.34375, 0.5172413793103449, 0.42857142857142855, 0.1724137931034483, 0.20689655172413793]","[0.11538461538461539, 0.28125, 0.2692307692307692, 0.25, 0.11538461538461539, 0.11538461538461539]","[0.29411764705882354, 0.38095238095238093, 0.4117647058823529, 0.5, 0.0, 0.17647058823529413]","[0.2, 0.2727272727272727, 0.25, 0.375, 0.05, 0.3]","[0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.0, 0.0, 0.05263157894736842]"
9,20190403LTSK0,"[1.125, 0.25, 8.0, 8.0]","[0, 0, 0, 0, 0, 0]","[0.18181818181818182, 0.2702702702702703, 0.18181818181818182, 0.6666666666666666, 0.12121212121212122, 0.06060606060606061]","[0.38235294117647056, 0.4473684210526316, 0.5294117647058824, 0.14285714285714285, 0.14705882352941177, 0.11764705882352941]","[0.21212121212121213, 0.21212121212121213, 0.3939393939393939, 0.0, 0.12121212121212122, 0.06060606060606061]","[0.24242424242424243, 0.3055555555555556, 0.45454545454545453, 0.42857142857142855, 0.15151515151515152, 0.18181818181818182]","[0.10344827586206896, 0.2777777777777778, 0.2413793103448276, 0.25, 0.10344827586206896, 0.10344827586206896]","[0.35, 0.44, 0.5, 0.5, 0.0, 0.15]","[0.16666666666666666, 0.23076923076923078, 0.20833333333333334, 0.3, 0.041666666666666664, 0.25]","[0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.0, 0.0, 0.045454545454545456]"
10,20190404LTSK0,"[4.5, 1.6666666666666667, 2.8, 6.0]","[0.34210526315789475, 0.40476190476190477, 0.47368421052631576, 0.14285714285714285, 0.13157894736842105, 0.10526315789473684]","[0.1111111111111111, 0.2727272727272727, 0.4444444444444444, 0.5, 0.2222222222222222, 0.2222222222222222]","[0.36363636363636365, 0.4827586206896552, 0.5, 0.42857142857142855, 0.0, 0.13636363636363635]","[0.2222222222222222, 0.24324324324324326, 0.4166666666666667, 0.0, 0.1388888888888889, 0.05555555555555555]","[0.21621621621621623, 0.275, 0.40540540540540543, 0.375, 0.13513513513513514, 0.16216216216216217]","[0.1, 0.3, 0.23333333333333334, 0.25, 0.1, 0.13333333333333333]","[0.0, 0.1, 0.0, 0.0, 0.1111111111111111, 0.0]","[0.2, 0.2, 0.2, 0.0, 0.0, 0.04]","[0.1891891891891892, 0.2682926829268293, 0.1891891891891892, 0.6666666666666666, 0.10810810810810811, 0.05405405405405406]"
11,20190405SSSK0,"[2.7, 1.4, 3.75, 5.0]","[0.3488372093023256, 0.42857142857142855, 0.46511627906976744, 0.14285714285714285, 0.13953488372093023, 0.09302325581395349]","[0.26666666666666666, 0.35294117647058826, 0.6666666666666666, 0.6666666666666666, 0.26666666666666666, 0.3333333333333333]","[0.4074074074074074, 0.5, 0.6666666666666666, 0.5, 0.037037037037037035, 0.2222222222222222]","[0.1951219512195122, 0.21428571428571427, 0.36585365853658536, 0.0, 0.12195121951219512, 0.04878048780487805]","[0.24390243902439024, 0.3111111111111111, 0.4878048780487805, 0.375, 0.14634146341463414, 0.17073170731707318]","[0.08823529411764706, 0.28888888888888886, 0.20588235294117646, 0.2222222222222222, 0.08823529411764706, 0.11764705882352941]","[0.14285714285714285, 0.2, 0.21428571428571427, 0.0, 0.07142857142857142, 0.0]","[0.1724137931034483, 0.1724137931034483, 0.1724137931034483, 0.0, 0.0, 0.034482758620689655]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,20190406SSSK0,"[0, 0, 0, 0]","[0.3333333333333333, 0.4074074074074074, 0.4375, 0.25, 0.125, 0.10416666666666667]","[0.25, 0.3181818181818182, 0.55, 0.5, 0.2, 0.25]","[0.4, 0.5, 0.6333333333333333, 0.4444444444444444, 0.06666666666666667, 0.2]","[0.20930232558139536, 0.2608695652173913, 0.37209302325581395, 0.0, 0.13953488372093023, 0.046511627906976744]","[0.25, 0.32653061224489793, 0.4772727272727273, 0.3333333333333333, 0.13636363636363635, 0.1590909090909091]","[0.10526315789473684, 0.2857142857142857, 0.21052631578947367, 0.25, 0.07894736842105263, 0.13157894736842105]","[0.16666666666666666, 0.21052631578947367, 0.2222222222222222, 0.25, 0.05555555555555555, 0.05555555555555555]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0.19047619047619047, 0.2765957446808511, 0.19047619047619047, 0.6666666666666666, 0.11904761904761904, 0.047619047619047616]"
13,20190407SSSK0,"[1.5428571428571427, 1.4571428571428573, 1.3333333333333333, 5.833333333333333]","[0.3269230769230769, 0.39655172413793105, 0.4230769230769231, 0.3333333333333333, 0.11538461538461539, 0.11538461538461539]","[0.1, 0.1, 0.1, 0.0, 0.3, 0.0]","[0.35294117647058826, 0.4523809523809524, 0.5588235294117647, 0.4, 0.058823529411764705, 0.17647058823529413]","[0.2127659574468085, 0.26, 0.3617021276595745, 0.0, 0.14893617021276595, 0.0425531914893617]","[0.25, 0.32075471698113206, 0.4583333333333333, 0.3, 0.125, 0.14583333333333334]","[0.16666666666666666, 0.32075471698113206, 0.2619047619047619, 0.3076923076923077, 0.09523809523809523, 0.11904761904761904]","[0.19047619047619047, 0.22727272727272727, 0.23809523809523808, 0.25, 0.047619047619047616, 0.047619047619047616]","[0.2608695652173913, 0.32, 0.5217391304347826, 0.5, 0.17391304347826086, 0.21739130434782608]","[0.17647058823529413, 0.17647058823529413, 0.20588235294117646, 0.0, 0.029411764705882353, 0.029411764705882353]"
