,date,game_key,알테어,박시원,이상호,이원재,윤수강,박민우,강진성,노진혁,김성욱,나성범,유영준,김준완,권희동,김태진,최승민,김찬형,박준영,오영수,김형준,최정원,서호철,지석훈,박석민,양의지,정범모,이명기,김태군,모창민
0,2020-05-05,20200505NCSS0,"[1, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0, 0, 0, 0, 0, 0]","[1, 8, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0, 0, 0, 0, 0, 0]","[1, 4, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0, 0, 0, 0, 0, 0]"
1,2020-05-06,20200506NCSS0,"[1, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 3, 0.6666666666666666, 0.75, 1.6666666666666667, 0.0, 0.3333333333333333, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.25, 0.25, 1.0, 0.0, 0.25, 0.25]","[1, 4, 0.25, 0.25, 0.5, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.75, 0.75, 1.75, 1.0, 0.25, 0.5]"
2,2020-05-07,20200507NCSS0,"[0, 3, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.0, 0.14285714285714285, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]","[0, 5, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2857142857142857, 0.375, 0.7142857142857143, 0.3333333333333333, 0.14285714285714285, 0.2857142857142857]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 3, 0.2857142857142857, 0.4444444444444444, 0.7142857142857143, 0.0, 0.14285714285714285, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[1, 8, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.2857142857142857, 0.375, 0.8571428571428571, 0.0, 0.2857142857142857, 0.2857142857142857]","[1, 4, 0.14285714285714285, 0.3333333333333333, 0.2857142857142857, 0.0, 0.2857142857142857, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0, 0.0, 0.0]","[0, 4, 0, 0, 0, 0, 0, 0]","[1, 5, 0.375, 0.375, 0.875, 0.3333333333333333, 0.125, 0.25]"
3,2020-05-08,20200508LGNC0,"[0, 8, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.0, 0.14285714285714285, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3, 0.46153846153846156, 0.4, 1.0, 0.2, 0.2]","[0, 2, 0.0, 0.5, 0.0, 0.0, 0.0, 0]","[1, 6, 0.3, 0.4166666666666667, 0.9, 0.3333333333333333, 0.2, 0.3]","[1, 9, 0.1, 0.18181818181818182, 0.1, 0.0, 0.2, 0.0]","[1, 3, 0.2, 0.38461538461538464, 0.5, 0.0, 0.1, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.4, 0.5, 0.4, 0.5, 0.2, 0.0]","[1, 8, 0.2, 0.2, 0.2, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.2857142857142857, 0.4444444444444444, 0.8571428571428571, 0.0, 0.2857142857142857, 0.2857142857142857]","[1, 4, 0.18181818181818182, 0.3076923076923077, 0.2727272727272727, 0.2, 0.18181818181818182, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3, 0.36363636363636365, 0.4, 0.5, 0.1, 0.2]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 5, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
4,2020-05-10,20200510LGNC0,"[1, 5, 0.25, 0.25, 0.625, 0.0, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.2, 0.3333333333333333, 0.4, 0.5, 0.2, 0.4]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3333333333333333, 0.4444444444444444, 0.5333333333333333, 1.0, 0.26666666666666666, 0.26666666666666666]","[0, 8, 1.0, 0.6666666666666666, 4.0, 1.0, 1.0, 3.0]","[1, 7, 0.35714285714285715, 0.4375, 0.7857142857142857, 0.4, 0.21428571428571427, 0.35714285714285715]","[0, -1, 0.1, 0.18181818181818182, 0.1, 0.0, 0.2, 0.0]","[1, 3, 0.15384615384615385, 0.3888888888888889, 0.38461538461538464, 0.0, 0.15384615384615385, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.4, 0.5, 0.4, 0.5, 0.2, 0.0]","[0, -1, 0.2, 0.2, 0.2, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.25, 0.4, 0.75, 0.0, 0.25, 0.25]","[1, 4, 0.3125, 0.3888888888888889, 0.4375, 0.14285714285714285, 0.1875, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.4166666666666667, 0.5333333333333333, 0.75, 0.6666666666666666, 0.3333333333333333, 0.25]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
5,2020-05-12,20200512KTNC0,"[1, 4, 0.25, 0.3076923076923077, 0.5, 0.0, 0.08333333333333333, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.14285714285714285, 0.25, 0.2857142857142857, 0.3333333333333333, 0.14285714285714285, 0.2857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3, 0.391304347826087, 0.45, 0.6, 0.25, 0.2]","[0, -1, 1.0, 0.6666666666666666, 4.0, 1.0, 1.0, 3.0]","[1, 6, 0.3333333333333333, 0.42857142857142855, 0.6666666666666666, 0.375, 0.2222222222222222, 0.3333333333333333]","[0, -1, 0.1, 0.18181818181818182, 0.1, 0.0, 0.2, 0.0]","[1, 3, 0.2777777777777778, 0.43478260869565216, 0.4444444444444444, 0.2, 0.2222222222222222, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.2, 0.2, 0.2, 0.5, 0.0, 0.2]","[0, 9, 0.3333333333333333, 0.45454545454545453, 0.4444444444444444, 0.5, 0.2222222222222222, 0.2222222222222222]","[0, -1, 0.2, 0.2, 0.2, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2727272727272727, 0.4, 0.6363636363636364, 0.3333333333333333, 0.2727272727272727, 0.2727272727272727]","[0, 8, 0.3333333333333333, 0.391304347826087, 0.5238095238095238, 0.25, 0.19047619047619047, 0.19047619047619047]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.35294117647058826, 0.45, 0.5882352941176471, 0.6666666666666666, 0.29411764705882354, 0.17647058823529413]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
6,2020-05-13,20200513KTNC0,"[1, 6, 0.23529411764705882, 0.2777777777777778, 0.4117647058823529, 0.5, 0.058823529411764705, 0.058823529411764705]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.09090909090909091, 0.16666666666666666, 0.18181818181818182, 0.16666666666666666, 0.09090909090909091, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2916666666666667, 0.39285714285714285, 0.4166666666666667, 0.5714285714285714, 0.25, 0.20833333333333334]","[0, 8, 1.0, 0.8, 4.0, 1.0, 1.0, 2.0]","[1, 7, 0.4090909090909091, 0.48, 0.7272727272727273, 0.4444444444444444, 0.18181818181818182, 0.36363636363636365]","[1, 9, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.30434782608695654, 0.42857142857142855, 0.5652173913043478, 0.3333333333333333, 0.2608695652173913, 0.21739130434782608]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.3333333333333333, 0.0, 0.14285714285714285]","[0, 6, 0.36363636363636365, 0.46153846153846156, 0.45454545454545453, 0.4, 0.2727272727272727, 0.18181818181818182]","[0, -1, 0.2, 0.2, 0.2, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.375, 0.45, 1.0, 0.25, 0.3125, 0.3125]","[1, 4, 0.30434782608695654, 0.36, 0.4782608695652174, 0.2222222222222222, 0.17391304347826086, 0.17391304347826086]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3181818181818182, 0.4, 0.5, 0.5, 0.22727272727272727, 0.13636363636363635]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
7,2020-05-14,20200514KTNC0,"[1, 2, 0.2222222222222222, 0.3, 0.3888888888888889, 0.5, 0.05555555555555555, 0.05555555555555555]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0.09090909090909091, 0.16666666666666666, 0.18181818181818182, 0.16666666666666666, 0.09090909090909091, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3103448275862069, 0.3939393939393939, 0.4482758620689655, 0.5555555555555556, 0.20689655172413793, 0.1724137931034483]","[1, 9, 1.0, 0.8333333333333334, 3.0, 1.0, 0.6666666666666666, 1.6666666666666667]","[1, 6, 0.38461538461538464, 0.4838709677419355, 0.6538461538461539, 0.4444444444444444, 0.15384615384615385, 0.3076923076923077]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.32142857142857145, 0.42424242424242425, 0.6428571428571429, 0.3333333333333333, 0.25, 0.21428571428571427]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.25, 0.25, 0.25, 0.3333333333333333, 0.125, 0.125]","[1, 7, 0.46153846153846156, 0.5625, 0.7692307692307693, 0.5, 0.3076923076923077, 0.3076923076923077]","[1, 8, 0.125, 0.125, 0.125, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.35, 0.4166666666666667, 0.85, 0.25, 0.25, 0.25]","[1, 4, 0.2962962962962963, 0.3333333333333333, 0.4444444444444444, 0.2222222222222222, 0.14814814814814814, 0.18518518518518517]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3181818181818182, 0.4, 0.5, 0.5, 0.22727272727272727, 0.13636363636363635]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
8,2020-05-15,20200515NCSK0,"[1, 4, 0.22727272727272727, 0.2916666666666667, 0.36363636363636365, 0.5, 0.045454545454545456, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1, 7, 0.07692307692307693, 0.2, 0.15384615384615385, 0.14285714285714285, 0.07692307692307693, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.36363636363636365, 0.43243243243243246, 0.5151515151515151, 0.5555555555555556, 0.21212121212121213, 0.15151515151515152]","[1, 5, 0.6666666666666666, 0.6666666666666666, 1.8333333333333333, 1.0, 0.3333333333333333, 0.8333333333333334]","[1, 6, 0.3448275862068966, 0.45714285714285713, 0.5862068965517241, 0.36363636363636365, 0.13793103448275862, 0.27586206896551724]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.28125, 0.3783783783783784, 0.5625, 0.3333333333333333, 0.21875, 0.1875]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.25, 0.25, 0.25, 0.3333333333333333, 0.125, 0.125]","[0, 2, 0.375, 0.47368421052631576, 0.625, 0.42857142857142855, 0.25, 0.25]","[1, 9, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.0, 0.09090909090909091, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.34782608695652173, 0.4482758620689655, 0.782608695652174, 0.2, 0.21739130434782608, 0.21739130434782608]","[0, 7, 0.2903225806451613, 0.3235294117647059, 0.45161290322580644, 0.2222222222222222, 0.12903225806451613, 0.16129032258064516]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2692307692307692, 0.3448275862068966, 0.4230769230769231, 0.3333333333333333, 0.19230769230769232, 0.11538461538461539]","[1, 8, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
9,2020-05-16,20200516NCSK0,"[1, 4, 0.2, 0.3103448275862069, 0.32, 0.3333333333333333, 0.08, 0.08]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0.07692307692307693, 0.2, 0.15384615384615385, 0.14285714285714285, 0.07692307692307693, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.41025641025641024, 0.46511627906976744, 0.5641025641025641, 0.6, 0.1794871794871795, 0.1794871794871795]","[1, 7, 0.4444444444444444, 0.5, 1.2222222222222223, 0.6666666666666666, 0.2222222222222222, 0.5555555555555556]","[0, 7, 0.3235294117647059, 0.425, 0.5294117647058824, 0.3333333333333333, 0.14705882352941177, 0.23529411764705882]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2571428571428571, 0.38095238095238093, 0.5142857142857142, 0.2857142857142857, 0.22857142857142856, 0.17142857142857143]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.2222222222222222, 0.3, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111]","[1, 6, 0.35294117647058826, 0.45, 0.5882352941176471, 0.375, 0.23529411764705882, 0.23529411764705882]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.0, 0.09090909090909091, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.32, 0.4375, 0.72, 0.2, 0.2, 0.2]","[0, -1, 0.2903225806451613, 0.3235294117647059, 0.45161290322580644, 0.2222222222222222, 0.12903225806451613, 0.16129032258064516]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.25806451612903225, 0.3235294117647059, 0.3870967741935484, 0.2857142857142857, 0.16129032258064516, 0.0967741935483871]","[1, 8, 0.2857142857142857, 0.375, 0.42857142857142855, 0.6666666666666666, 0.14285714285714285, 0.2857142857142857]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
