,date,game_key,안권수,박지훈,오명진,장규빈,양찬열,박세혁,장승현,김인태,백동훈,신성현,최용제,서예일,이유찬,백민규,권민석,이승민,송승환,김태근,페르난데스,김대한,정상호,김재호,오재일,최주환,오재원,김재환,박건우,정수빈,허경민,국해성
0,2020-05-05,20200505OBLG0,"[0, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0, 0, 0, 0, 0, 0]","[1, 4, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[1, 9, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]"
1,2020-05-06,20200506OBLG0,"[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5]","[1, 3, 0.25, 0.25, 0.25, 0.0, 0.25, 0.0]","[1, 5, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.25, 0.25, 1.0, 0.0, 0.25, 0.25]","[1, 1, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
2,2020-05-07,20200507OBLG0,"[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2857142857142857, 0.375, 0.2857142857142857, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5, 0.5, 0.5, 1.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0, 0, 0, 0, 0, 0]","[1, 6, 0.5, 0.5, 0.5, 0.0, 0.0, 0.16666666666666666]","[1, 3, 0.5, 0.5, 0.625, 0.5, 0.25, 0.25]","[1, 5, 0.25, 0.25, 1.0, 0.5, 0.25, 0.5]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.16666666666666666, 0.25, 0.6666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333]","[1, 1, 0.125, 0.2222222222222222, 0.125, 0.0, 0.125, 0.0]","[1, 9, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0]","[1, 8, 0.125, 0.125, 0.25, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
3,2020-05-08,20200508KTOB0,"[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.3, 0.3333333333333333, 0.3, 0.0, 0.0, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 1.0, 0.23076923076923078, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.45454545454545453, 0.46153846153846156, 0.45454545454545453, 0.5, 0.0, 0.2727272727272727]","[1, 3, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.3333333333333333, 0.23076923076923078, 0.15384615384615385]","[1, 5, 0.14285714285714285, 0.25, 0.5714285714285714, 0.25, 0.2857142857142857, 0.2857142857142857]","[0, 2, 0.25, 0.25, 0.25, 0.5, 0.0, 0.25]","[1, 4, 0.36363636363636365, 0.38461538461538464, 0.7272727272727273, 1.0, 0.2727272727272727, 0.2727272727272727]","[1, 1, 0.15384615384615385, 0.21428571428571427, 0.38461538461538464, 0.0, 0.15384615384615385, 0.15384615384615385]","[1, 9, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.0, 0.18181818181818182, 0.0]","[1, 8, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
4,2020-05-10,20200510KTOB0,"[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.23076923076923078, 0.26666666666666666, 0.23076923076923078, 0.0, 0.0, 0.07692307692307693]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5625, 0.5625, 0.6875, 1.0, 0.1875, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.5, 0.5, 0.5714285714285714, 0.5, 0.07142857142857142, 0.21428571428571427]","[1, 3, 0.375, 0.4117647058823529, 0.5, 0.25, 0.25, 0.125]","[1, 5, 0.2727272727272727, 0.3333333333333333, 0.5454545454545454, 0.25, 0.18181818181818182, 0.18181818181818182]","[0, 5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.0, 0.16666666666666666]","[1, 4, 0.35714285714285715, 0.4117647058823529, 0.6428571428571429, 1.0, 0.21428571428571427, 0.2857142857142857]","[1, 1, 0.11764705882352941, 0.21052631578947367, 0.29411764705882354, 0.0, 0.11764705882352941, 0.11764705882352941]","[1, 9, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285, 0.07142857142857142]","[1, 8, 0.125, 0.125, 0.1875, 0.25, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
5,2020-05-12,20200512OBLT0,"[0, 1, 0.5, 0.6, 0.5, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.29411764705882354, 0.38095238095238093, 0.29411764705882354, 0.0, 0.0, 0.058823529411764705]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5909090909090909, 0.5909090909090909, 0.8636363636363636, 1.0, 0.22727272727272727, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 6, 0.42105263157894735, 0.45454545454545453, 0.47368421052631576, 0.5, 0.15789473684210525, 0.15789473684210525]","[1, 3, 0.3333333333333333, 0.391304347826087, 0.5714285714285714, 0.16666666666666666, 0.23809523809523808, 0.14285714285714285]","[1, 5, 0.26666666666666666, 0.3125, 0.4666666666666667, 0.25, 0.13333333333333333, 0.13333333333333333]","[0, 5, 0.125, 0.125, 0.125, 0.5, 0.0, 0.125]","[1, 4, 0.3, 0.34782608695652173, 0.65, 0.6, 0.2, 0.4]","[1, 1, 0.15789473684210525, 0.23809523809523808, 0.3157894736842105, 0.0, 0.15789473684210525, 0.10526315789473684]","[1, 9, 0.21052631578947367, 0.25, 0.21052631578947367, 0.3333333333333333, 0.21052631578947367, 0.10526315789473684]","[1, 8, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.42857142857142855, 0.09090909090909091, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]"
6,2020-05-13,20200513OBLT0,"[0, 1, 0.4, 0.5, 0.4, 0.0, 0.4, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.3333333333333333, 0.4, 0.3333333333333333, 0.0, 0.047619047619047616, 0.047619047619047616]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5769230769230769, 0.5925925925925926, 0.8461538461538461, 0.8, 0.2692307692307692, 0.23076923076923078]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 6, 0.4166666666666667, 0.4444444444444444, 0.4583333333333333, 0.4, 0.125, 0.125]","[1, 3, 0.38461538461538464, 0.42857142857142855, 0.6153846153846154, 0.25, 0.23076923076923078, 0.15384615384615385]","[0, 5, 0.23529411764705882, 0.3157894736842105, 0.4117647058823529, 0.2, 0.11764705882352941, 0.11764705882352941]","[1, 5, 0.3, 0.3, 0.6, 0.5, 0.1, 0.3]","[1, 4, 0.4166666666666667, 0.4642857142857143, 0.8333333333333334, 0.75, 0.2916666666666667, 0.5]","[1, 1, 0.21739130434782608, 0.28, 0.391304347826087, 0.0, 0.17391304347826086, 0.08695652173913043]","[1, 9, 0.21739130434782608, 0.25, 0.2608695652173913, 0.4, 0.21739130434782608, 0.13043478260869565]","[1, 8, 0.25925925925925924, 0.25925925925925924, 0.3333333333333333, 0.375, 0.1111111111111111, 0.07407407407407407]","[0, -1, 0, 0, 0, 0, 0, 0]"
7,2020-05-14,20200514OBLT0,"[0, 1, 0.4, 0.5, 0.4, 0.0, 0.4, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3333333333333333, 0.4, 0.3333333333333333, 0.0, 0.047619047619047616, 0.047619047619047616]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5172413793103449, 0.5625, 0.7586206896551724, 0.6666666666666666, 0.27586206896551724, 0.20689655172413793]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 6, 0.39285714285714285, 0.4375, 0.4642857142857143, 0.5, 0.10714285714285714, 0.14285714285714285]","[1, 3, 0.36666666666666664, 0.42424242424242425, 0.6666666666666666, 0.25, 0.26666666666666666, 0.16666666666666666]","[1, 5, 0.2631578947368421, 0.3333333333333333, 0.5789473684210527, 0.3333333333333333, 0.15789473684210525, 0.2631578947368421]","[0, 5, 0.38461538461538464, 0.38461538461538464, 0.6153846153846154, 0.5, 0.15384615384615385, 0.23076923076923078]","[1, 4, 0.42857142857142855, 0.48484848484848486, 0.8928571428571429, 0.75, 0.35714285714285715, 0.5]","[1, 1, 0.21428571428571427, 0.26666666666666666, 0.35714285714285715, 0.0, 0.14285714285714285, 0.07142857142857142]","[1, 9, 0.18518518518518517, 0.21428571428571427, 0.2222222222222222, 0.3333333333333333, 0.18518518518518517, 0.14814814814814814]","[1, 7, 0.26666666666666666, 0.2903225806451613, 0.3333333333333333, 0.3333333333333333, 0.1, 0.06666666666666667]","[0, -1, 0, 0, 0, 0, 0, 0]"
8,2020-05-15,20200515OBHT0,"[0, 1, 0.3333333333333333, 0.42857142857142855, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2916666666666667, 0.3793103448275862, 0.2916666666666667, 0.0, 0.08333333333333333, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5, 0.5405405405405406, 0.7941176470588235, 0.5714285714285714, 0.29411764705882354, 0.20588235294117646]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.4, 0.4, 0.4, 1.0, 0.0, 0.2]","[1, 6, 0.3870967741935484, 0.4594594594594595, 0.45161290322580644, 0.42857142857142855, 0.12903225806451613, 0.12903225806451613]","[1, 3, 0.42857142857142855, 0.47368421052631576, 0.8285714285714286, 0.4, 0.2571428571428571, 0.22857142857142856]","[1, 5, 0.2608695652173913, 0.32, 0.5652173913043478, 0.2222222222222222, 0.13043478260869565, 0.21739130434782608]","[0, 5, 0.38461538461538464, 0.38461538461538464, 0.6153846153846154, 0.5, 0.23076923076923078, 0.23076923076923078]","[1, 4, 0.41935483870967744, 0.5, 0.8709677419354839, 0.6666666666666666, 0.3548387096774194, 0.45161290322580644]","[1, 1, 0.21875, 0.2647058823529412, 0.375, 0.0, 0.15625, 0.0625]","[1, 9, 0.1935483870967742, 0.21875, 0.22580645161290322, 0.2857142857142857, 0.16129032258064516, 0.12903225806451613]","[1, 8, 0.23529411764705882, 0.25, 0.29411764705882354, 0.3333333333333333, 0.08823529411764706, 0.08823529411764706]","[0, -1, 0, 0, 0, 0, 0, 0]"
9,2020-05-16,20200516OBHT0,"[0, 1, 0.2857142857142857, 0.375, 0.2857142857142857, 0.0, 0.2857142857142857, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.35714285714285715, 0.4411764705882353, 0.35714285714285715, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5263157894736842, 0.5714285714285714, 0.8157894736842105, 0.625, 0.2894736842105263, 0.23684210526315788]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.4, 0.4, 0.4, 1.0, 0.0, 0.2]","[1, 6, 0.37142857142857144, 0.43902439024390244, 0.42857142857142855, 0.375, 0.17142857142857143, 0.11428571428571428]","[1, 3, 0.425, 0.46511627906976744, 0.775, 0.5, 0.225, 0.25]","[1, 5, 0.3076923076923077, 0.3793103448275862, 0.6153846153846154, 0.2222222222222222, 0.15384615384615385, 0.19230769230769232]","[0, 3, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.5, 0.35714285714285715, 0.2857142857142857]","[1, 4, 0.3611111111111111, 0.4418604651162791, 0.75, 0.5454545454545454, 0.3055555555555556, 0.3888888888888889]","[1, 1, 0.2222222222222222, 0.28205128205128205, 0.3611111111111111, 0.0, 0.16666666666666666, 0.08333333333333333]","[1, 9, 0.2222222222222222, 0.24324324324324326, 0.2777777777777778, 0.25, 0.16666666666666666, 0.1111111111111111]","[1, 7, 0.2564102564102564, 0.2682926829268293, 0.38461538461538464, 0.2727272727272727, 0.1282051282051282, 0.1282051282051282]","[0, -1, 0, 0, 0, 0, 0, 0]"
