,date,game_key,안승민,김경태,김용주,이태양,문재현,임준섭,송창현,로저스,김민우,김범수,권용우,김재영,서캠프,마에스트리,카스티요,배영수,이재우,권혁,안영명,윤규진,송은범,심수창,송창식,정재원,정우람,이동걸,정대훈,구본범,황재규,장민재,송신영,박정진
0,2016-04-01,20160401HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]"
1,2016-04-02,20160402HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 2, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 6.0, 1.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2016-04-05,20160405WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.3636363636363638, 4.0, 1.8333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 6.0, 1.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.5, 0.5, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2, 1.0, 1.6666666666666667]"
3,2016-04-06,20160406WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 16.2, 3.5999999999999996, 0.0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.3636363636363638, 4.0, 1.8333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.125, 6.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.25, 1.5, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.3333333333333333, 2.0, 1.5]"
4,2016-04-07,20160407WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.2, 3.5999999999999996, 0.0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.0, 1.0, 1.0]","[0, 1, 3.6, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 9.0, 2.0, 4.0, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.125, 6.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.25, 1.5, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.3333333333333333, 2.0, 1.5]"
5,2016-04-08,20160408HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.75, 1.5, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.2, 3.5999999999999996, 0.0, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.2, 2.0, 0.8333333333333334]","[0, 0, 3.6, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4.0, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.125, 6.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6, 1, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.05, 1.05, 2.3333333333333335, 2.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 2.1, 1.6666666666666667, 1.1111111111111112]"
6,2016-04-09,20160409HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6666666666666666, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 0.6666666666666666, 5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.8, 3.3, 0.2, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.2, 2.0, 0.8333333333333334]","[0, 0, 3.6, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4.0, 3.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.0, 1.6666666666666667, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 0.8571428571428571, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6818181818181817, 1.090909090909091, 2.25, 1.8333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 2.1, 1.6666666666666667, 1.1111111111111112]"
7,2016-04-10,20160410HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 0.6666666666666666, 5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.8, 3.3, 0.2, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.785714285714286, 2.357142857142857, 1.0, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.2, 2.0, 0.8333333333333334]","[0, 1, 6.352941176470588, 1.588235294117647, 1.6666666666666667, 1.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4.0, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.6666666666666667, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 0.8571428571428571, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6818181818181817, 1.090909090909091, 2.25, 1.8333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 2.1, 1.6666666666666667, 1.1111111111111112]"
8,2016-04-12,20160412OBHH0,"[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.5, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 0.6666666666666666, 5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 12.272727272727272, 3.272727272727273, 0.16666666666666666, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.785714285714286, 2.357142857142857, 1.0, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.2, 2.0, 0.8333333333333334]","[0, 1, 4.909090909090909, 1.2272727272727273, 2.0, 1.4666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 8.64, 1.68, 1.5, 4.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.6666666666666667, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.2857142857142856, 1, 0.5833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.32, 1.3199999999999998, 1.8, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 1.8461538461538463, 1.25, 1.0833333333333333]"
9,2016-04-13,20160413OBHH0,"[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.8461538461538463, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8, 0.6, 6, 1.25]","[0, 0, 0, 0, 0, 0]","[1, 0, 7.2, 2.0, 1.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.272727272727272, 3.272727272727273, 0.16666666666666666, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.785714285714286, 2.357142857142857, 1.0, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.2857142857142856, 1.0, 0.7777777777777778]","[0, 0, 4.909090909090909, 1.2272727272727273, 2.0, 1.4666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 1.68, 1.5, 4.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.1, 1.65, 2.6666666666666665, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.2857142857142856, 1, 0.5833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.153846153846154, 1.3846153846153848, 1.5, 1.4444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.6666666666666667, 1.5, 1.2]"
