,date,game_key,정대현,최원재,채선관,고영표,심재민,류희운,안상빈,홍성무,김민수,엄상백,이창재,정성곤,주권,김재윤,조무근,피어밴드,피노,한승지,박세진,마리몬,로위,서의태,밴와트,최대성,홍성용,윤근영,장시환,이상화,배우열,김사율
0,2016-04-01,20160401KTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,2016-04-02,20160402KTSK0,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2016-04-03,20160403KTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 3, 2.0]","[0, 1, 0.0, 1.5, 1.0, 2.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 2.571428571428571, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,2016-04-05,20160405SSKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 3, 2.0]","[0, 0, 0.0, 1.5, 1.0, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.571428571428571, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]"
4,2016-04-06,20160406SSKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 3, 2.0]","[0, 1, 0.0, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.571428571428571, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 2.0, 2.0]","[0, 1, 18.0, 4.0, 1.0, 1.0]"
5,2016-04-07,20160407SSKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 0.0, 0.6666666666666666]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 1.2857142857142856, 0.5, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 3, 2.0]","[0, 0, 0.0, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.2, 2, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.571428571428571, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 2.0]","[0, 0, 18.0, 4.0, 1.0, 1.0]"
6,2016-04-08,20160408HTKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2857142857142856, 0.5, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 3, 2.0]","[0, 0, 0.0, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.0, 1.1666666666666667, 2, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.2, 2, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 3.0, 1.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 2.0]","[0, 0, 18.0, 4.0, 1.0, 1.0]"
7,2016-04-09,20160409HTKT0,"[1, 0, 10.125, 2.25, 1.0, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 2.5, 0.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2857142857142856, 0.5, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.3333333333333333, 4, 1.5]","[0, 0, 0.0, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.1666666666666667, 2, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 0.75, 3, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 3.0, 1.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 4.5, 1.75, 1.0, 2.0]"
8,2016-04-10,20160410HTKT0,"[0, 0, 10.125, 2.25, 1.0, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 2.142857142857143, 0.3333333333333333, 0.5833333333333334]","[0, 1, 9.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2857142857142856, 0.5, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.3333333333333333, 4, 1.5]","[0, 0, 0.0, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.7, 0.8999999999999999, 3.0, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.1666666666666667, 2, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.75, 3, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.9285714285714284, 1.25, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 4.5, 1.75, 1.0, 2.0]"
9,2016-04-12,20160412KTWO0,"[0, 0, 10.125, 2.25, 1.0, 2.6666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6875, 1.5, 0.75, 1.0666666666666667]","[0, 1, 9.0, 3.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2857142857142856, 0.5, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.3333333333333333, 4, 1.5]","[0, 0, 0.0, 2.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 3.0, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.1666666666666667, 2, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 1.4, 1.5, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.75, 3, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.9285714285714284, 1.25, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 4.153846153846154, 1.6153846153846154, 1.5, 1.4444444444444444]"
