,date,game_key,배민관,이승현,유경국,김지용,이창호,임찬규,이영재,윤지웅,임정우,최성훈,이준형,소사,류제국,배재준,허프,김대현,코프랜드,유재유,신승현,이동현,우규민,장진용,진해수,유원상,봉중근,이범준,정찬헌,최동환,전인환,정현욱,김광삼
0,2016-04-01,20160401HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,2016-04-02,20160402HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 3.0, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.7999999999999998, 1.0, 1.6666666666666667]","[0, 1, 0.0, 3.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 1, 0.0, 0.0, 1, 1.0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2016-04-05,20160405LGHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 3.0, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.7999999999999998, 1.0, 1.6666666666666667]","[0, 0, 0.0, 3.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, inf, 0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,2016-04-07,20160407LGHT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 11.571428571428571, 2.142857142857143, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.875, 2.0, 1.3333333333333333]","[0, 1, 0.0, 2.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.0, 1.6666666666666667, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 0.6666666666666666]","[0, 1, 0.0, 0.42857142857142855, 4, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, inf, 0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,2016-04-08,20160408LGSK0,"[0, 0, 0, 0, 0, 0]","[0, 1, 8.1, 1.5, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 2.0, 1.3333333333333333, 1.3333333333333333]","[0, 1, 0.0, 1.5, 0.0, 0.4444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.6666666666666667, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0.0, 0.42857142857142855, 4, 1.1666666666666667]","[1, 0, 5.4, 1.2, 4.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,2016-04-09,20160409LGSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0.0, 1.5, 0.0, 0.4444444444444444]","[1, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.6666666666666667, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0.0, 0.42857142857142855, 4, 1.1666666666666667]","[0, 0, 5.4, 1.2, 4.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,2016-04-10,20160410LGSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.153846153846154, 2.307692307692308, 1.25, 1.0833333333333333]","[0, 1, 0.0, 1.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.6666666666666667, 4.0, 6.0]","[1, 0, 3.0, 1.5, 3.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 3, 0.7777777777777778]","[0, 1, 0.0, 0.75, 4, 0.8888888888888888]","[0, 0, 5.4, 1.2, 4.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,2016-04-12,20160412LTLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.4, 1.6666666666666667, 1.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 2.142857142857143, 1.25, 0.9333333333333333]","[0, 1, 0.0, 0.8571428571428571, 0.0, 0.4666666666666667]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.7272727272727275, 1.5454545454545454, 6.0, 5.5]","[0, 0, 3.0, 1.5, 3.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 4.0, 1.0]","[0, 1, 0.0, 0.5454545454545455, 5, 0.9166666666666666]","[0, 0, 5.4, 1.2, 4.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,2016-04-13,20160413LTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.6666666666666667, 1.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 1.25, 0.9333333333333333]","[0, 0, 0.0, 0.8571428571428571, 0.0, 0.4666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.7272727272727275, 1.5454545454545454, 6.0, 5.5]","[0, 0, 3.0, 1.5, 3.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6428571428571428, 4.0, 0.9333333333333333]","[0, 1, 0.0, 0.46153846153846156, 6, 0.8666666666666666]","[1, 0, 3.0857142857142854, 1.1142857142857143, 2.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 1.5, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.8571428571428571, 0, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,2016-04-14,20160414LTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.6666666666666667, 1.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.25, 1.0, 2.5, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.2, 2.6, 1.2, 0.8333333333333334]","[0, 1, 12.0, 2.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.7272727272727275, 1.5454545454545454, 6.0, 5.5]","[0, 0, 3.0, 1.5, 3.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571428, 4.0, 0.9333333333333333]","[0, 0, 0.0, 0.46153846153846156, 6, 0.8666666666666666]","[0, 0, 3.0857142857142854, 1.1142857142857143, 2.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2, 1.5, 0.6666666666666667]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.8571428571428571, 0, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,2016-04-15,20160415LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.6666666666666667, 1.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.0, 2.5, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 2.6, 1.2, 0.8333333333333334]","[0, 0, 12.0, 2.0, 0.0, 0.5]","[1, 0, 6.75, 1.5, 0.6666666666666666, 4.0]","[0, 0, 5.7272727272727275, 1.5454545454545454, 6.0, 5.5]","[0, 0, 3.0, 1.5, 3.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571428, 4.0, 0.9333333333333333]","[0, 0, 0.0, 0.46153846153846156, 6, 0.8666666666666666]","[0, 0, 3.0857142857142854, 1.1142857142857143, 2.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 1.5, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.8571428571428571, 0, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
