게임키,일자,원정팀코드,홈팀코드,더블헤더코드,요일,구장
20170331HHOB0,2017-03-31,HH,OB,0,금,잠실
20170331HTSS0,2017-03-31,HT,SS,0,금,대구
20170331KTSK0,2017-03-31,KT,SK,0,금,문학
20170331LGWO0,2017-03-31,LG,WO,0,금,고척
20170331LTNC0,2017-03-31,LT,NC,0,금,마산
20170401HHOB0,2017-04-01,HH,OB,0,토,잠실
20170401HTSS0,2017-04-01,HT,SS,0,토,대구
20170401KTSK0,2017-04-01,KT,SK,0,토,문학
20170401LGWO0,2017-04-01,LG,WO,0,토,고척
20170401LTNC0,2017-04-01,LT,NC,0,토,마산
20170402HHOB0,2017-04-02,HH,OB,0,일,잠실
20170402HTSS0,2017-04-02,HT,SS,0,일,대구
20170402KTSK0,2017-04-02,KT,SK,0,일,문학
20170402LGWO0,2017-04-02,LG,WO,0,일,고척
20170402LTNC0,2017-04-02,LT,NC,0,일,마산
20170404NCHH0,2017-04-04,NC,HH,0,화,대전
20170404OBKT0,2017-04-04,OB,KT,0,화,수원
20170404SKHT0,2017-04-04,SK,HT,0,화,광주
20170404SSLG0,2017-04-04,SS,LG,0,화,잠실
20170404WOLT0,2017-04-04,WO,LT,0,화,사직
20170406NCHH0,2017-04-06,NC,HH,0,목,대전
20170406OBKT0,2017-04-06,OB,KT,0,목,수원
20170406SKHT0,2017-04-06,SK,HT,0,목,광주
20170406SSLG0,2017-04-06,SS,LG,0,목,잠실
20170406WOLT0,2017-04-06,WO,LT,0,목,사직
20170407HHHT0,2017-04-07,HH,HT,0,금,광주
20170407LGLT0,2017-04-07,LG,LT,0,금,사직
20170407NCSK0,2017-04-07,NC,SK,0,금,문학
20170407SSKT0,2017-04-07,SS,KT,0,금,수원
20170407WOOB0,2017-04-07,WO,OB,0,금,잠실
20170408HHHT0,2017-04-08,HH,HT,0,토,광주
20170408LGLT0,2017-04-08,LG,LT,0,토,사직
20170408NCSK0,2017-04-08,NC,SK,0,토,문학
20170408SSKT0,2017-04-08,SS,KT,0,토,수원
20170408WOOB0,2017-04-08,WO,OB,0,토,잠실
20170409HHHT0,2017-04-09,HH,HT,0,일,광주
20170409LGLT0,2017-04-09,LG,LT,0,일,사직
20170409NCSK0,2017-04-09,NC,SK,0,일,문학
20170409SSKT0,2017-04-09,SS,KT,0,일,수원
20170409WOOB0,2017-04-09,WO,OB,0,일,잠실
20170411HHSS0,2017-04-11,HH,SS,0,화,대구
20170411HTOB0,2017-04-11,HT,OB,0,화,잠실
20170411KTWO0,2017-04-11,KT,WO,0,화,고척
20170411LGNC0,2017-04-11,LG,NC,0,화,마산
20170411LTSK0,2017-04-11,LT,SK,0,화,문학
