일자,팀코드,선수명,등록말소
2018-03-24,HH,백창수,Y
2018-03-24,LG,배민관,N
2018-03-24,LG,신정락,Y
2018-03-24,SS,이승현,N
2018-03-24,LG,김지용,Y
2018-03-24,OB,장민익,N
2018-03-24,NC,이재학,N
2018-03-24,SS,김응민,N
2018-03-24,WO,문성현,N
2018-03-24,SK,김대유,N
2018-03-24,NC,김건태,N
2018-03-24,KT,이해창,Y
2018-03-24,OB,임진우,N
2018-03-24,SS,백상원,N
2018-03-24,LT,정훈,N
2018-03-24,KT,오태곤,Y
2018-03-24,LT,박시영,N
2018-03-24,NC,이상호,Y
2018-03-24,HT,홍재호,N
2018-03-24,HT,임기준,Y
2018-03-24,HT,심동섭,N
2018-03-24,HT,이인행,N
2018-03-24,HT,최병연,N
2018-03-24,HT,이준호,N
2018-03-24,HH,김경태,N
2018-03-24,KT,김용주,N
2018-03-24,HH,이태양,N
2018-03-24,HH,최윤석,Y
2018-03-24,SK,박종훈,N
2018-03-24,SK,문광은,N
2018-03-24,LG,임찬규,N
2018-03-24,LG,유강남,Y
2018-03-24,SS,정병곤,N
2018-03-24,LG,김재율,N
2018-03-24,LG,이우찬,N
2018-03-24,LG,이천웅,Y
2018-03-24,SS,최영진,Y
2018-03-24,LT,김동한,Y
2018-03-24,OB,정진호,N
2018-03-24,OB,이현호,Y
2018-03-24,KT,니퍼트,N
2018-03-24,WO,양현,N
2018-03-24,LG,윤지웅,N
2018-03-24,WO,고종욱,Y
2018-03-24,OB,김도현,N
2018-03-24,SS,김대우,N
2018-03-24,WO,홍성갑,N
2018-03-24,WO,박정준,N
2018-03-24,SS,김헌곤,Y
2018-03-24,SS,심창민,Y
2018-03-24,WO,윤영삼,N
2018-03-24,SS,임현준,Y
2018-03-24,SS,황수범,Y
2018-03-24,LT,이정담,N
2018-03-24,LT,허일,N
2018-03-24,LT,김사훈,N
2018-03-24,HT,홍건희,N
2018-03-24,SK,윤정우,N
2018-03-24,HT,한승혁,N
2018-03-24,HH,강경학,N
2018-03-24,HT,오준혁,N
2018-03-24,SK,이윤재,N
2018-03-24,SK,정진기,Y
2018-03-24,LG,임정우,Y
