게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,타순,타자,타수,타점,득점,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,실책,잔루,득점권타율,득점권타수,득점권안타
20200505HHSK0,2020-05-05,HH,SK,0,T,정진호,1,7,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0
20200505HHSK0,2020-05-05,SK,HH,0,B,고종욱,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505HHSK0,2020-05-05,HH,SK,0,T,하주석,1,9,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5,2,1
20200505HHSK0,2020-05-05,SK,HH,0,B,한동민,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20200505HHSK0,2020-05-05,SK,HH,0,B,정현,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,HH,SK,0,T,장운호,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,노수광,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,로맥,1,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505HHSK0,2020-05-05,HH,SK,0,T,호잉,1,3,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0
20200505HHSK0,2020-05-05,HH,SK,0,T,정은원,1,2,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,김창평,1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,HH,SK,0,T,김태균,1,6,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1,1
20200505HHSK0,2020-05-05,HH,SK,0,T,이성열,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,0
20200505HHSK0,2020-05-05,HH,SK,0,T,이용규,1,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,윤석민,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,정의윤,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,최정,1,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0
20200505HHSK0,2020-05-05,HH,SK,0,T,송광민,1,5,4,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,이재원,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,SK,HH,0,B,채태인,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505HHSK0,2020-05-05,HH,SK,0,T,최재훈,1,8,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,2,0
20200505HHSK0,2020-05-05,HH,SK,0,T,김회성,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,마차도,1,7,4,4,4,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.0,2,2
20200505LTKT0,2020-05-05,LT,KT,0,T,정훈,1,6,4,2,1,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,김민혁,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,심우준,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,0
20200505LTKT0,2020-05-05,KT,LT,0,B,배정대,1,9,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,조용호,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,로하스,1,5,4,3,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,강백호,1,3,4,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,정보근,1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,한동희,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,이대호,1,4,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,박경수,1,7,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,1,0
20200505LTKT0,2020-05-05,KT,LT,0,B,유한준,1,4,4,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,민병헌,1,1,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,황재균,1,6,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0
20200505LTKT0,2020-05-05,KT,LT,0,B,허도환,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,손아섭,1,3,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,LT,KT,0,T,전준우,1,2,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505LTKT0,2020-05-05,KT,LT,0,B,장성우,1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1,0
20200505LTKT0,2020-05-05,LT,KT,0,T,안치홍,1,5,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,1,0
20200505NCSS0,2020-05-05,SS,NC,0,B,김지찬,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505NCSS0,2020-05-05,SS,NC,0,B,살라디노,1,3,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,알테어,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,이상호,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505NCSS0,2020-05-05,SS,NC,0,B,최영진,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20200505NCSS0,2020-05-05,SS,NC,0,B,김헌곤,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,SS,NC,0,B,구자욱,1,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0,0
20200505NCSS0,2020-05-05,SS,NC,0,B,박찬도,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0
20200505NCSS0,2020-05-05,SS,NC,0,B,박해민,1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,박민우,1,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,노진혁,1,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,0
20200505NCSS0,2020-05-05,NC,SS,0,T,김성욱,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,나성범,1,3,4,3,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,배재환,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,SS,NC,0,B,이성규,1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0
20200505NCSS0,2020-05-05,SS,NC,0,B,김동엽,1,6,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20200505NCSS0,2020-05-05,NC,SS,0,T,최정원,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,박석민,1,5,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0
20200505NCSS0,2020-05-05,SS,NC,0,B,강민호,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,1,0
20200505NCSS0,2020-05-05,SS,NC,0,B,이원석,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,0
20200505NCSS0,2020-05-05,NC,SS,0,T,원종현,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,양의지,1,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,이명기,1,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505NCSS0,2020-05-05,NC,SS,0,T,모창민,1,6,4,4,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1
20200505NCSS0,2020-05-05,SS,NC,0,B,김상수,1,5,4,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0.0,0,0
20200505OBLG0,2020-05-05,LG,OB,0,B,라모스,1,4,4,3,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1,1
20200505OBLG0,2020-05-05,OB,LG,0,T,안권수,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20200505OBLG0,2020-05-05,LG,OB,0,B,유강남,1,8,4,4,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5,2,1
20200505OBLG0,2020-05-05,LG,OB,0,B,이천웅,1,1,4,4,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0
20200505OBLG0,2020-05-05,OB,LG,0,T,박세혁,1,7,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0
20200505OBLG0,2020-05-05,LG,OB,0,B,구본혁,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
