게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,구원,완투,종료,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20200505HHSK0,2020-05-05,SK,HH,0,B,킹엄,1,0,0,0,L,0,21,93,28,25,6,3,0,0,0,0,1,0,2,0,0,4,1,0,0,0,3,3,2.0,1.2,0.857142857
20200505HHSK0,2020-05-05,SK,HH,0,B,김정빈,0,1,0,0, ,0,3,13,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.5
20200505HHSK0,2020-05-05,HH,SK,0,T,서폴드,1,0,1,1,W,0,27,101,30,29,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.0,0.75
20200505HHSK0,2020-05-05,SK,HH,0,B,김세현,0,1,0,1, ,0,3,9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20200505LTKT0,2020-05-05,KT,LT,0,B,데스파이네,1,0,0,0, ,0,18,83,21,21,4,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0.0,0.666666667,1.0
20200505LTKT0,2020-05-05,LT,KT,0,T,스트레일리,1,0,0,0, ,0,17,97,23,20,3,1,0,1,0,0,0,0,3,0,0,4,1,0,0,0,2,2,0.0,1.058823529,2.4
20200505LTKT0,2020-05-05,LT,KT,0,T,김원중,0,1,0,1, ,0,3,23,4,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0
20200505LTKT0,2020-05-05,LT,KT,0,T,박진형,0,1,0,0, ,0,3,21,4,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,6.0
20200505LTKT0,2020-05-05,KT,LT,0,B,김민수,0,1,0,0, ,0,3,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20200505LTKT0,2020-05-05,KT,LT,0,B,김재윤,0,1,0,0,L,0,3,34,6,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0.0,3.0,3.0
20200505LTKT0,2020-05-05,KT,LT,0,B,이상화,0,1,0,0, ,0,0,24,4,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0
20200505LTKT0,2020-05-05,KT,LT,0,B,하준호,0,1,0,1, ,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20200505LTKT0,2020-05-05,LT,KT,0,T,오현택,0,1,0,0,W,0,4,14,4,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.75,0.0
20200505NCSS0,2020-05-05,SS,NC,0,B,이승현,0,1,0,0, ,0,3,16,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0
20200505NCSS0,2020-05-05,NC,SS,0,T,배재환,0,1,0,0, ,0,1,16,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3.0,0.0,0.0
20200505NCSS0,2020-05-05,SS,NC,0,B,원태인,0,1,0,1, ,0,3,12,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20200505NCSS0,2020-05-05,NC,SS,0,T,루친스키,1,0,0,0,W,0,18,91,25,21,3,0,0,0,0,1,0,0,4,0,0,6,0,0,0,0,0,0,0.0,1.0,3.75
20200505NCSS0,2020-05-05,NC,SS,0,T,원종현,0,1,0,1,S,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20200505NCSS0,2020-05-05,SS,NC,0,B,백정현,1,0,0,0,L,0,18,97,25,24,6,2,0,3,0,0,0,0,1,0,0,5,0,0,0,0,4,4,1.5,1.058823529,2.4
20200505NCSS0,2020-05-05,SS,NC,0,B,장필준,0,1,0,0, ,0,3,19,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1.5
20200505NCSS0,2020-05-05,NC,SS,0,T,임창민,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20200505NCSS0,2020-05-05,NC,SS,0,T,강윤구,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
