game_key,hp_1,hp_2,hp_3,h1_1,h1_2,h1_3,h2_1,h2_2,h2_3,h3_1,h3_2,h3_3,h4_1,h4_2,h4_3,h5_1,h5_2,h5_3,h6_1,h6_2,h6_3,h7_1,h7_2,h7_3,h8_1,h8_2,h8_3,h9_1,h9_2,h9_3,ap_1,ap_2,ap_3,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a3_3,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a6_1,a6_2,a6_3,a7_1,a7_2,a7_3,a8_1,a8_2,a8_3,a9_1,a9_2,a9_3,hit_r,r,l
20160413OBHH0,7.2,2,1,0.25,0.25,0.25,0.325581395,0.355555556,0.441860465,0.257142857,0.315789474,0.314285714,0.264705882,0.395348837,0.382352941,0.314285714,0.384615385,0.485714286,0.454545455,0.571428571,0.636363636,0.428571429,0.466666667,0.785714286,0.260869565,0.32,0.434782609,0,0,0,0,0,0,0.261904762,0.311111111,0.333333333,0.1875,0.307692308,0.3125,0.324324324,0.431818182,0.594594595,0.1875,0.341463415,0.34375,0.193548387,0.324324324,0.516129032,0.35483871,0.444444444,0.419354839,0.444444444,0.523809524,0.722222222,1,1,4,0.275862069,0.4,0.310344828,0.375,3,7
20160413OBHH0,0,0,0,0.261904762,0.311111111,0.333333333,0.1875,0.307692308,0.3125,0.324324324,0.431818182,0.594594595,0.1875,0.341463415,0.34375,0.193548387,0.324324324,0.516129032,0.35483871,0.444444444,0.419354839,0.444444444,0.523809524,0.722222222,1,1,4,0.275862069,0.4,0.310344828,7.2,2,1,0.25,0.25,0.25,0.325581395,0.355555556,0.441860465,0.257142857,0.315789474,0.314285714,0.264705882,0.395348837,0.382352941,0.314285714,0.384615385,0.485714286,0.454545455,0.571428571,0.636363636,0.428571429,0.466666667,0.785714286,0.260869565,0.32,0.434782609,0,0,0,0.375,7,3
20160414HTSK0,2.571428571,1.071428571,1.5,0.291666667,0.392857143,0.333333333,0.21875,0.315789474,0.28125,0.25,0.404255319,0.416666667,0.195121951,0.260869565,0.43902439,0.268292683,0.333333333,0.487804878,0.305555556,0.422222222,0.333333333,0.175,0.23255814,0.425,0.333333333,0.390243902,0.555555556,0.15625,0.27027027,0.25,4.153846154,1.461538462,1.8,0.238095238,0.272727273,0.476190476,0.5,0.5,0.5,0.236842105,0.275,0.315789474,0.322580645,0.4,0.548387097,0.206896552,0.351351351,0.413793103,0.382352941,0.447368421,0.794117647,0.19047619,0.260869565,0.238095238,0.16,0.222222222,0.4,0.192307692,0.3,0.192307692,0.378378378,7,6
20160414HTSK0,4.153846154,1.461538462,1.8,0.238095238,0.272727273,0.476190476,0.5,0.5,0.5,0.236842105,0.275,0.315789474,0.322580645,0.4,0.548387097,0.206896552,0.351351351,0.413793103,0.382352941,0.447368421,0.794117647,0.19047619,0.260869565,0.238095238,0.16,0.222222222,0.4,0.192307692,0.3,0.192307692,2.571428571,1.071428571,1.5,0.291666667,0.392857143,0.333333333,0.21875,0.315789474,0.28125,0.25,0.404255319,0.416666667,0.195121951,0.260869565,0.43902439,0.268292683,0.333333333,0.487804878,0.305555556,0.422222222,0.333333333,0.175,0.23255814,0.425,0.333333333,0.390243902,0.555555556,0.15625,0.27027027,0.25,0.285714286,6,7
20160414KTWO0,4.5,1.5,1.125,0.234042553,0.357142857,0.29787234,0.2,0.2,0.2,0.346153846,0.346153846,0.423076923,0.19047619,0.326923077,0.404761905,0.3,0.44,0.45,0.324324324,0.468085106,0.351351351,0.261904762,0.311111111,0.428571429,0.25,0.340425532,0.375,0.208333333,0.344827586,0.333333333,2.7,1.65,0.75,0.258064516,0.43902439,0.290322581,0.307692308,0.325,0.358974359,0.269230769,0.344827586,0.538461538,0.25,0.371428571,0.571428571,0.342105263,0.409090909,0.447368421,0.315789474,0.409090909,0.526315789,0.268292683,0.387755102,0.414634146,0.142857143,0.25,0.142857143,0.216216216,0.230769231,0.378378378,0.233333333,4,5
20160414KTWO0,2.7,1.65,0.75,0.258064516,0.43902439,0.290322581,0.307692308,0.325,0.358974359,0.269230769,0.344827586,0.538461538,0.25,0.371428571,0.571428571,0.342105263,0.409090909,0.447368421,0.315789474,0.409090909,0.526315789,0.268292683,0.387755102,0.414634146,0.142857143,0.25,0.142857143,0.216216216,0.230769231,0.378378378,4.5,1.5,1.125,0.234042553,0.357142857,0.29787234,0.2,0.2,0.2,0.346153846,0.346153846,0.423076923,0.19047619,0.326923077,0.404761905,0.3,0.44,0.45,0.324324324,0.468085106,0.351351351,0.261904762,0.311111111,0.428571429,0.25,0.340425532,0.375,0.208333333,0.344827586,0.333333333,0.277777778,5,4
20160414LTLG0,2.25,1,2.5,0.27027027,0.391304348,0.324324324,0.5,0.5,0.833333333,0.272727273,0.414634146,0.363636364,0.361111111,0.428571429,0.694444444,0.318181818,0.318181818,0.5,0.4,0.666666667,0.8,0.111111111,0.272727273,0.111111111,0.217391304,0.28,0.217391304,0,0,0,3.857142857,1.457142857,2.2,0.377777778,0.428571429,0.622222222,0.481481481,0.533333333,0.62962963,0.212121212,0.235294118,0.303030303,0.307692308,0.391304348,0.58974359,0.288888889,0.333333333,0.466666667,0.352941176,0.488372093,0.588235294,0.288888889,0.333333333,0.333333333,0.379310345,0.424242424,0.413793103,0.235294118,0.315789474,0.235294118,0.228571429,0,9
20160414LTLG0,3.857142857,1.457142857,2.2,0.377777778,0.428571429,0.622222222,0.481481481,0.533333333,0.62962963,0.212121212,0.235294118,0.303030303,0.307692308,0.391304348,0.58974359,0.288888889,0.333333333,0.466666667,0.352941176,0.488372093,0.588235294,0.288888889,0.333333333,0.333333333,0.379310345,0.424242424,0.413793103,0.235294118,0.315789474,0.235294118,2.25,1,2.5,0.27027027,0.391304348,0.324324324,0.5,0.5,0.833333333,0.272727273,0.414634146,0.363636364,0.361111111,0.428571429,0.694444444,0.318181818,0.318181818,0.5,0.4,0.666666667,0.8,0.111111111,0.272727273,0.111111111,0.217391304,0.28,0.217391304,0,0,0,0.365853659,9,0
20160414NCSS0,4.5,1.416666667,2.2,0.388888889,0.52173913,0.722222222,0.230769231,0.302325581,0.307692308,0.315789474,0.386363636,0.526315789,0.325,0.425531915,0.55,0.25,0.357142857,0.361111111,0.317073171,0.377777778,0.536585366,0.285714286,0.333333333,0.428571429,0.416666667,0.481481481,0.541666667,0.294117647,0.294117647,0.323529412,3.75,1.5,1.142857143,0.291666667,0.32,0.291666667,0.30952381,0.355555556,0.452380952,0.324324324,0.365853659,0.486486486,0.235294118,0.35,0.352941176,0.393939394,0.487179487,0.696969697,0.25,0.3,0.25,0.28125,0.342857143,0.5,0.2,0.230769231,0.24,0.166666667,0.25,0.277777778,0.333333333,7,5
20160414NCSS0,3.75,1.5,1.142857143,0.291666667,0.32,0.291666667,0.30952381,0.355555556,0.452380952,0.324324324,0.365853659,0.486486486,0.235294118,0.35,0.352941176,0.393939394,0.487179487,0.696969697,0.25,0.3,0.25,0.28125,0.342857143,0.5,0.2,0.230769231,0.24,0.166666667,0.25,0.277777778,4.5,1.416666667,2.2,0.388888889,0.52173913,0.722222222,0.230769231,0.302325581,0.307692308,0.315789474,0.386363636,0.526315789,0.325,0.425531915,0.55,0.25,0.357142857,0.361111111,0.317073171,0.377777778,0.536585366,0.285714286,0.333333333,0.428571429,0.416666667,0.481481481,0.541666667,0.294117647,0.294117647,0.323529412,0.235294118,5,7
